School,G,W,L,W-L%,SRS,SOS,ConfW,ConfL,HomeW,HomeL,AwayW,AwayL,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,OppO,OppD,NCSOS AdjEM
Air Force,29,22,7,.759,9.12,0.08,12,2,13,0,8,5,1737,1475,1160,585,1216,.481,245,647,.379,322,453,.711,174,623,386,225,68,318,481,,,.373,.532,.607,43.4,66.0,,5.7,.582,18.2,,.265,+15.42,111.4,96.0,51.9,+.025,+0.58,103.3,102.8,-10.49
Akron,28,13,15,.464,-0.39,0.00,7,11,9,4,4,11,2009,2020,,696,1492,.466,173,477,.363,444,688,.645,314,940,423,207,71,410,544,,,.461,.320,.552,48.6,60.8,,4.3,.524,18.4,,.298,-0.45,106.3,106.7,64.8,-.019,-0.49,103.4,103.9,-2.33
Alabama,33,20,13,.606,14.29,10.20,8,8,11,4,4,6,2380,2245,,813,1802,.451,233,616,.378,521,735,.709,366,1148,395,213,111,423,598,,,.408,.342,.553,50.4,48.6,,5.9,.516,16.4,,.289,+16.50,114.7,98.2,64.7,+.004,+11.20,109.1,97.9,+6.59
Alabama A&M,30,13,17,.433,-15.88,-12.29,9,9,8,4,3,12,2113,2220,,721,1762,.409,186,586,.317,485,705,.688,387,1112,378,220,78,487,650,,,.400,.333,.504,48.8,52.4,,4.5,.462,18.8,,.275,-16.33,95.3,111.6,69.6,+.038,-13.43,94.2,107.6,-1.10
Alabama State,31,16,15,.516,-11.10,-10.78,11,7,7,4,5,9,1904,1913,,639,1523,.420,173,517,.335,453,691,.656,360,1066,315,219,95,537,581,,,.454,.339,.514,51.9,49.3,,5.8,.476,22.5,,.297,-10.72,93.8,104.5,61.4,+.023,-12.06,94.6,106.7,+0.53
Alabama-Birmingham,32,22,10,.688,11.76,5.63,12,4,14,1,5,5,2414,2218,1285,882,2006,.440,213,646,.330,437,656,.666,401,1119,564,371,115,431,681,,,.327,.322,.521,46.6,63.9,,6.5,.493,15.7,,.218,+13.63,108.1,94.5,70.7,+.019,+5.34,105.8,100.4,+1.60
Albany (NY),28,5,23,.179,-15.33,-7.47,3,15,3,10,2,12,1621,1841,1140,598,1493,.401,135,455,.297,290,393,.738,286,916,314,188,63,441,474,,,.263,.305,.483,47.2,52.5,,4.0,.446,20.8,,.194,-19.86,87.6,107.4,62.5,-.055,-9.16,97.0,106.2,-9.44
Alcorn State,29,11,18,.379,-20.17,-11.79,9,9,6,6,4,11,1855,2098,1160,646,1520,.425,162,461,.351,401,592,.677,329,962,329,179,62,560,565,,,.389,.303,.515,49.7,50.9,,3.7,.478,23.7,,.264,-20.96,91.9,112.9,67.5,+.074,-11.69,94.9,106.6,-2.24
American,31,18,13,.581,-4.59,-7.04,10,4,7,4,7,8,2092,2016,,726,1643,.442,206,560,.368,434,642,.676,331,1067,411,240,72,441,564,,,.391,.341,.537,52.1,56.6,,4.4,.505,18.5,,.264,-3.16,102.7,105.8,63.4,-.006,-7.56,98.2,105.7,-1.27
Appalachian State,30,9,21,.300,-5.83,-1.18,4,12,4,8,4,11,2091,2170,1205,766,1875,.409,204,626,.326,355,554,.641,407,1047,437,324,138,494,609,,,.295,.334,.489,47.1,57.0,,8.2,.463,18.8,,.189,-5.05,95.6,100.7,69.9,-.088,+0.46,104.1,103.7,+6.40
Arizona,30,20,10,.667,15.30,6.63,11,7,13,2,5,5,2614,2354,1200,942,1938,.486,219,568,.386,511,650,.786,421,1177,560,206,135,448,483,,,.335,.293,.582,52.7,59.4,,6.9,.543,16.6,,.264,+16.18,118.5,102.3,73.0,-.072,+5.72,106.7,101.0,+4.60
Arizona State,27,10,17,.370,2.83,5.35,4,14,7,8,2,9,2000,2068,1090,646,1498,.431,161,478,.337,547,744,.735,327,961,426,150,86,408,567,,,.497,.319,.540,49.9,65.9,,5.4,.485,18.1,,.365,+1.29,107.6,106.3,68.5,-.049,+4.44,106.4,102.0,-2.29
Arkansas,28,12,16,.429,6.53,6.28,4,12,10,6,1,8,1928,1921,1130,678,1629,.416,180,573,.314,392,577,.679,365,967,363,220,108,386,555,,,.354,.352,.507,48.5,53.5,,7.1,.471,16.9,,.241,+6.03,104.6,98.6,66.1,-.067,+6.44,107.0,100.6,-6.94
Arkansas State,28,17,11,.607,-1.57,-4.42,7,7,10,4,6,5,2078,1957,1135,707,1581,.447,196,550,.356,468,642,.729,359,1017,315,190,80,434,576,,,.406,.348,.551,50.6,44.6,,5.1,.509,18.7,,.296,-0.47,105.8,106.3,66.0,-.017,-4.23,99.8,104.0,-7.05
Arkansas-Pine Bluff,27,1,26,.037,-30.69,-8.54,1,17,0,10,1,16,1410,2008,1080,511,1485,.344,136,487,.279,252,395,.638,292,936,269,149,66,518,568,,,.266,.328,.421,44.3,52.6,,4.1,.390,23.6,,.170,-36.33,76.2,112.5,67.3,-.013,-8.50,96.9,105.4,+7.27
Army,27,6,21,.222,-22.76,-7.72,3,11,4,11,2,8,1363,1708,,455,1257,.362,154,470,.328,299,456,.656,186,782,270,170,52,463,493,,,.363,.374,.462,43.6,59.3,,3.7,.423,23.9,,.238,-30.49,77.9,108.4,61.8,+.001,-10.65,96.6,107.3,-13.57
Auburn,28,14,14,.500,10.32,5.89,5,11,12,5,1,8,1960,1836,1125,700,1598,.438,185,543,.341,375,566,.663,415,1043,427,244,134,447,473,,,.354,.340,.525,53.2,61.0,,8.8,.496,19.3,,.235,+10.16,106.3,96.1,66.4,-.097,+5.31,106.3,101.0,-6.32
Austin Peay,32,22,10,.688,1.42,-1.38,16,0,13,0,8,8,2098,1935,1280,739,1673,.442,182,556,.327,438,632,.693,318,1090,405,218,130,440,558,,,.378,.332,.532,51.4,54.8,,7.7,.496,18.2,,.262,+5.49,100.1,94.6,62.1,+.070,-0.01,105.4,105.4,+14.88
Ball State,29,14,15,.483,1.03,1.78,10,8,10,5,4,9,2046,2032,1175,703,1657,.424,149,443,.336,491,672,.731,344,1023,365,174,63,379,589,,,.406,.267,.518,48.8,51.9,,3.9,.469,16.1,,.296,+1.47,103.3,101.9,67.1,-.013,+1.47,105.3,103.9,+6.51
Baylor,29,8,21,.276,-2.73,5.20,3,13,6,11,1,9,1847,2041,1175,656,1540,.426,168,534,.315,367,531,.691,355,924,351,214,74,446,465,,,.345,.347,.515,48.3,53.5,,4.6,.481,19.9,,.238,-6.63,102.0,108.7,61.0,+.007,+4.01,104.9,100.9,-9.50
Belmont,30,21,9,.700,1.70,-4.68,15,5,12,4,9,5,2171,1947,1225,745,1634,.456,293,818,.358,388,566,.686,292,995,494,269,72,437,539,,,.346,.501,.570,48.5,66.3,,4.3,.546,18.7,,.237,+5.22,106.0,100.8,63.8,-.047,-5.08,101.0,106.1,+7.27
Bethune-Cookman,29,8,21,.276,-18.49,-10.63,7,11,5,6,3,14,1711,1939,,606,1549,.391,176,558,.315,323,462,.699,311,927,306,241,61,461,532,,,.298,.360,.484,47.9,50.5,,4.0,.448,20.7,,.209,-21.96,90.2,112.1,63.4,+.004,-11.99,94.6,106.6,-3.79
Binghamton,30,14,16,.467,-9.09,-6.33,10,8,6,5,6,7,1802,1885,1205,630,1549,.407,161,508,.317,381,596,.639,357,1057,314,202,157,509,564,,,.385,.328,.492,51.3,49.8,,9.9,.459,21.7,,.246,-9.69,91.4,101.1,63.9,+.037,-7.82,98.1,106.0,-4.27
Boise State,33,23,10,.697,8.85,4.14,12,6,13,4,10,5,2431,2227,1325,852,1904,.447,221,639,.346,506,686,.738,380,1136,461,212,105,428,567,,,.360,.336,.545,50.5,54.1,,5.7,.506,16.1,,.266,+13.13,109.6,96.5,66.7,+.028,+4.87,106.2,101.4,-0.79
Boston College,34,24,10,.706,11.99,7.17,10,6,13,3,5,5,2312,2148,1380,819,1799,.455,128,393,.326,546,804,.679,425,1224,543,241,102,457,537,,,.447,.218,.530,52.2,66.3,,5.2,.491,17.3,,.304,+15.42,110.5,95.1,62.6,+.045,+7.21,106.2,99.0,-2.14
Boston University,29,23,6,.793,1.12,-5.91,17,1,11,3,12,3,1930,1726,1170,693,1617,.429,177,543,.326,367,530,.692,337,1007,420,228,105,351,537,,,.328,.336,.516,50.8,60.6,,7.2,.483,15.8,,.227,+3.01,102.5,99.5,63.4,+.115,-7.79,97.3,105.1,+0.37
Bowling Green State,31,14,17,.452,-1.26,0.50,8,10,11,4,2,10,2194,2206,1250,721,1609,.448,201,545,.369,551,711,.775,323,1061,470,167,120,509,739,,,.442,.339,.564,50.9,65.2,,7.0,.511,20.7,,.342,-1.71,104.7,106.4,65.6,-.025,+0.15,103.4,103.3,-1.64
Bradley,31,15,16,.484,-0.08,1.92,7,11,11,4,3,10,2058,2126,,667,1649,.404,192,585,.328,532,734,.725,333,1048,379,223,57,486,685,,,.445,.355,.515,49.2,56.8,,3.5,.463,19.6,,.323,-0.69,98.6,99.3,66.8,+.066,+1.25,104.3,103.1,-2.99
Brigham Young,30,21,9,.700,12.70,6.31,10,4,13,0,5,7,2200,1966,1205,764,1571,.486,171,487,.351,501,692,.724,316,1017,445,208,98,409,566,,,.440,.310,.579,54.4,58.2,,6.3,.541,17.7,,.319,+15.64,113.0,97.4,65.9,+.020,+7.13,108.1,101.0,+6.41
Brown,27,14,13,.519,-5.40,-4.17,10,4,7,4,6,9,1956,1966,1090,703,1561,.450,208,570,.365,342,487,.702,252,891,426,240,85,412,499,,,.312,.365,.546,46.7,60.6,,5.4,.517,18.7,,.219,-4.35,101.8,106.2,70.4,+.032,-4.75,100.2,105.0,-0.93
Bucknell,29,14,15,.483,-4.21,-6.65,9,5,10,2,2,11,1883,1759,1165,670,1454,.461,140,483,.290,403,602,.669,297,1002,375,244,71,484,561,,,.414,.332,.541,53.6,56.0,,4.8,.509,21.8,,.277,-4.69,96.6,101.3,64.5,-.115,-6.88,98.9,105.8,-0.23
