School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,OppO,OppD,NCSOS AdjEM
Abilene Christian,32,16,16,.500,-9.14,-6.82,8,10,9,6,6,9,2359,2279,,71.6,102.2,.309,.350,.549,49.7,55.4,11.3,11.6,.521,17.7,27.8,.217,-8.66,98.2,106.8,68.6,+.014,-6.52,101.3,107.8,-3.16
Air Force,31,12,19,.387,-4.31,1.72,6,12,9,7,3,10,2124,2244,,67.7,100.8,.318,.431,.527,48.7,60.7,9.5,8.1,.490,16.3,27.5,.233,-6.25,100.5,106.8,66.0,+.022,+1.72,105.7,104.0,-5.13
Akron,32,14,18,.438,-6.82,-1.92,6,12,12,4,2,10,2296,2411,,69.1,102.6,.319,.467,.547,49.2,52.7,8.4,7.5,.518,17.3,27.1,.222,-8.08,101.8,109.9,67.8,+.068,-2.06,104.5,106.5,-5.30
Alabama,36,20,16,.556,12.34,10.64,8,10,12,4,2,8,2604,2543,,70.2,103.0,.419,.355,.550,50.3,50.3,9.0,14.7,.519,17.8,29.3,.281,+13.41,108.7,95.2,68.7,+.017,+11.17,110.9,99.7,+2.54
Alabama A&M,31,3,28,.097,-23.97,-8.04,3,15,2,9,1,18,1873,2367,,68.3,88.1,.314,.354,.480,48.2,50.5,5.8,3.9,.450,20.9,29.4,.203,-28.31,86.6,114.9,65.8,-.040,-8.10,100.2,108.3,+4.85
Alabama State,31,8,23,.258,-18.55,-8.62,8,10,4,8,4,13,2129,2437,,70.5,97.0,.352,.347,.496,47.9,41.7,7.7,11.2,.465,16.9,31.9,.227,-19.86,95.8,115.7,68.8,-.018,-9.14,99.2,108.4,+4.68
Alabama-Birmingham,33,20,13,.606,4.90,-0.65,10,8,14,3,5,6,2536,2303,,69.5,109.8,.291,.334,.575,54.8,59.3,7.7,11.6,.545,16.5,31.1,.218,+6.32,109.6,103.3,67.7,-.047,-0.93,104.5,105.4,-6.96
Albany (NY),32,22,10,.688,0.01,-5.41,10,6,14,3,8,7,2375,2182,,67.3,110.3,.370,.273,.550,55.2,48.3,7.0,7.9,.507,14.7,34.9,.279,+1.71,107.1,105.4,66.2,+.007,-6.49,101.4,107.9,-5.20
Alcorn State,32,11,21,.344,-18.07,-8.60,7,11,9,5,2,16,2244,2388,,70.4,99.2,.328,.382,.532,48.4,53.0,8.8,7.7,.499,17.9,27.1,.232,-19.43,95.0,114.4,68.0,-.055,-9.05,99.6,108.7,+9.81
American,30,6,24,.200,-14.63,-6.17,3,15,4,8,2,16,1961,2215,,67.4,96.6,.304,.439,.531,45.1,52.6,10.7,9.1,.506,18.3,23.4,.202,-16.14,95.6,111.8,66.5,-.061,-6.16,102.1,108.3,-3.16
Appalachian State,33,15,18,.455,-4.81,-2.65,9,9,9,4,4,11,2520,2448,,72.0,104.6,.378,.433,.539,52.3,47.6,8.2,8.9,.509,16.3,30.8,.252,-4.11,103.4,107.5,70.1,-.026,-2.58,103.0,105.6,-0.19
Arizona,35,27,8,.771,15.67,6.84,14,4,15,1,8,3,2818,2509,,68.7,115.6,.370,.321,.598,55.6,52.6,7.1,12.0,.563,15.3,33.2,.281,+17.70,118.0,100.4,67.1,+.036,+5.96,108.5,102.5,+2.51
Arizona State,32,20,12,.625,14.37,6.56,8,10,13,4,4,6,2645,2395,,72.2,113.6,.413,.413,.576,49.0,51.6,9.0,9.9,.538,13.0,27.9,.303,+14.13,116.7,102.6,71.3,-.083,+5.48,107.4,101.9,+0.94
Arkansas,35,23,12,.657,14.76,9.85,10,8,15,2,3,7,2819,2647,,71.3,111.8,.374,.321,.565,48.9,49.9,8.6,13.8,.538,13.2,28.7,.255,+14.69,116.3,101.7,69.7,+.059,+9.90,110.5,100.6,+0.87
Arkansas State,32,11,21,.344,-9.65,-3.02,6,12,7,7,4,13,2369,2523,,70.5,104.2,.329,.364,.536,48.6,40.9,9.5,7.9,.502,15.9,30.3,.236,-10.56,104.5,115.1,69.5,+.017,-2.27,102.9,105.1,-2.75
Arkansas-Pine Bluff,35,14,21,.400,-14.84,-9.36,12,6,7,3,6,13,2307,2499,,68.4,95.7,.366,.354,.528,43.6,52.4,11.4,11.7,.496,18.6,23.9,.247,-16.45,93.6,110.0,67.5,+.044,-9.64,98.9,108.5,+3.38
Army,30,13,17,.433,-8.62,-7.17,6,12,6,5,4,12,2230,2223,,71.7,103.2,.243,.418,.542,49.6,61.1,7.9,8.2,.524,16.4,27.0,.160,-8.69,99.8,108.5,70.4,-.045,-7.17,101.9,109.1,-4.75
Auburn,34,26,8,.765,15.97,7.29,13,5,15,1,7,4,2783,2488,,73.5,111.4,.398,.432,.557,51.7,53.1,10.1,15.2,.508,14.1,31.8,.308,+18.69,115.4,96.7,72.6,+.034,+7.52,108.8,101.3,-1.86
Austin Peay,34,19,15,.559,-3.28,-2.49,12,6,13,5,5,9,2512,2446,,70.1,104.7,.366,.294,.532,52.2,49.5,9.4,8.9,.505,16.8,35.7,.239,-2.09,105.0,107.0,69.2,+.052,-2.74,103.1,105.8,+4.27
Ball State,32,19,13,.594,-1.22,-1.99,10,8,14,2,5,10,2410,2362,,71.1,104.6,.339,.384,.548,51.1,52.9,7.4,8.9,.516,16.1,27.8,.239,-0.08,103.3,103.3,69.9,+.060,-2.07,104.7,106.7,-1.46
Baylor,34,19,15,.559,14.59,9.17,8,10,15,5,2,9,2571,2369,,68.5,109.1,.319,.303,.556,54.2,54.8,7.9,12.2,.523,16.7,35.6,.234,+16.02,111.5,95.5,66.7,-.079,+10.02,110.9,100.9,-3.78
Belmont,33,24,9,.727,5.54,-2.88,15,3,14,2,9,6,2562,2284,,68.5,113.3,.279,.542,.610,51.5,58.7,7.1,6.5,.588,16.3,25.2,.206,+9.15,112.7,103.5,66.9,-.004,-3.22,103.1,106.4,+1.45
Bethune-Cookman,32,18,14,.563,-12.21,-12.48,12,4,10,3,8,10,2621,2543,,77.7,104.6,.402,.372,.540,52.1,55.5,8.1,8.9,.502,17.3,33.5,.282,-11.05,99.5,110.6,76.0,+.025,-13.38,97.2,110.6,-5.09
Binghamton,31,11,20,.355,-10.29,-6.36,2,14,7,7,3,12,2147,2181,,67.9,101.6,.297,.378,.530,49.6,47.8,8.0,11.6,.510,15.8,26.0,.190,-11.93,97.4,109.4,66.1,-.061,-6.88,101.0,107.9,-8.65
Boise State,32,23,9,.719,11.21,3.05,13,5,15,1,6,6,2502,2210,,70.7,108.8,.313,.425,.572,55.9,48.6,8.0,5.9,.542,16.5,29.3,.231,+12.90,109.9,97.0,68.8,-.006,+2.23,106.6,104.3,-1.95
Boston College,35,19,16,.543,9.00,7.20,7,11,14,3,2,11,2673,2610,,70.1,107.7,.307,.395,.554,51.6,51.9,7.1,8.8,.521,15.5,29.8,.228,+10.21,113.1,102.9,70.2,+.004,+8.49,109.1,100.6,-7.11
Boston University,31,15,16,.484,-8.34,-5.84,10,8,6,7,9,9,2186,2226,,68.8,102.5,.323,.355,.548,50.1,52.5,10.7,9.8,.529,17.6,28.6,.206,-8.21,100.2,108.4,67.5,+.057,-5.49,102.2,107.7,-2.35
Bowling Green State,32,16,16,.500,-6.38,-2.88,7,11,9,6,6,9,2429,2490,,71.9,103.6,.372,.352,.526,51.2,51.4,8.1,6.6,.483,15.0,30.0,.272,-6.04,102.0,108.1,70.0,+.066,-2.61,103.8,106.5,-4.63
Bradley,33,20,13,.606,2.08,0.36,9,9,13,2,4,9,2223,2136,,66.3,101.7,.372,.343,.528,51.8,58.2,9.8,12.9,.490,17.3,31.9,.263,+3.98,104.4,100.4,65.8,+.042,+1.07,104.7,103.6,-4.52
Brigham Young,35,24,11,.686,8.04,1.53,11,7,13,3,7,6,2600,2372,,67.9,108.2,.376,.341,.579,51.0,58.0,9.3,11.0,.541,15.2,22.4,.282,+10.32,108.3,98.0,67.9,+.006,+0.54,106.4,105.9,-2.08
Brown,27,11,16,.407,-7.78,-4.67,4,10,8,5,3,11,2080,2133,,72.7,104.0,.409,.361,.534,50.7,48.6,8.7,8.1,.483,15.7,30.3,.309,-9.16,100.8,110.0,71.7,+.004,-5.54,102.4,108.0,-7.07
Bryant,31,3,28,.097,-18.75,-5.43,2,16,1,11,2,17,2169,2582,,71.0,98.2,.278,.401,.509,44.7,54.1,8.6,3.9,.479,15.9,26.1,.196,-22.06,98.7,120.7,70.1,-.013,-5.30,101.9,107.2,+1.28
Bucknell,35,25,10,.714,4.48,-3.46,16,2,15,1,10,8,2837,2559,,72.4,110.3,.425,.392,.576,50.8,52.3,7.5,10.4,.539,15.1,26.9,.306,+7.31,109.5,102.2,71.4,+.006,-4.35,102.8,107.1,+5.79
Buffalo,36,27,9,.750,7.99,0.25,15,3,14,1,8,5,3047,2742,,73.9,113.3,.298,.406,.572,51.4,54.0,8.4,10.1,.549,14.3,31.6,.208,+11.53,114.7,103.2,72.7,+.006,-0.06,105.1,105.2,+3.87
Butler,35,21,14,.600,16.92,10.55,9,9,14,3,3,7,2763,2540,,69.7,110.9,.261,.374,.570,51.3,47.9,9.3,8.2,.540,13.9,27.1,.202,+19.05,116.2,97.2,67.6,-.047,+11.21,112.0,100.8,+0.11
Cal Poly,31,9,22,.290,-11.55,-1.83,4,12,7,6,1,13,2082,2302,,66.6,98.4,.263,.411,.509,47.5,51.6,7.3,10.2,.470,15.2,25.8,.205,-14.98,98.2,113.2,66.2,+.051,-1.41,103.8,105.2,+0.51
Cal State Bakersfield,30,12,18,.400,-6.58,-0.73,5,9,8,4,3,12,1981,2068,,67.5,97.9,.346,.367,.509,51.4,55.5,9.0,9.6,.473,17.6,32.2,.241,-6.65,97.3,103.9,65.3,-.024,+0.64,105.5,104.9,+4.67
Cal State Fullerton,32,20,12,.625,-0.92,-1.02,10,6,9,4,7,7,2318,2245,,70.0,102.7,.433,.291,.559,51.1,50.1,8.9,8.6,.516,18.0,26.8,.316,+0.62,103.7,103.1,69.6,+.097,-1.20,103.8,105.0,+2.76
Cal State Northridge,30,6,24,.200,-13.51,-3.55,3,13,4,9,2,13,1983,2206,,66.5,98.2,.280,.304,.518,46.0,50.1,7.4,6.3,.488,16.0,24.0,.198,-16.46,96.7,113.2,65.8,-.047,-3.23,102.8,106.0,-3.50
Campbell,34,18,16,.529,-5.68,-6.68,10,8,14,4,4,11,2581,2412,,68.6,109.8,.347,.432,.593,48.5,54.1,9.7,11.1,.561,15.6,21.4,.260,-5.01,105.8,110.8,68.0,-.057,-7.30,100.6,107.9,-8.04
Canisius,33,21,12,.636,0.44,-4.80,15,3,11,3,8,8,2519,2346,,69.9,108.8,.299,.450,.568,49.5,61.4,10.0,8.1,.542,16.2,29.9,.213,+3.05,107.2,104.1,68.9,-.034,-4.82,102.4,107.2,-2.89
Central Arkansas,35,18,17,.514,-5.83,-5.97,10,8,9,5,8,11,2819,2766,,74.4,106.3,.361,.372,.557,47.5,57.8,8.8,12.1,.519,15.9,26.9,.265,-4.41,105.4,109.8,72.7,+.001,-5.45,100.7,106.1,-2.23
Central Connecticut State,32,14,18,.438,-11.62,-7.59,7,11,8,4,6,14,2171,2300,,66.3,100.3,.326,.345,.540,52.3,50.4,7.4,9.7,.510,19.1,31.1,.228,-12.85,98.0,110.8,64.5,+.066,-7.33,100.9,108.2,-3.69
Central Florida,32,19,13,.594,4.75,3.75,9,9,12,4,5,6,2007,1975,,64.9,96.2,.431,.331,.512,50.5,49.1,8.1,9.4,.478,18.0,28.5,.277,+5.62,98.9,93.2,64.5,+.062,+2.52,106.5,104.0,-2.50
Central Michigan,36,21,15,.583,-1.39,-3.24,7,11,12,5,6,9,2835,2661,,69.3,111.7,.325,.474,.561,50.7,51.6,9.0,9.4,.517,14.2,30.9,.262,+0.13,110.1,109.9,67.6,-.022,-3.15,103.4,106.5,-9.32
Charleston Southern,31,15,16,.484,-8.15,-6.15,9,9,9,6,6,10,2232,2133,,67.5,105.0,.324,.352,.539,51.2,45.9,10.5,11.8,.505,16.5,31.6,.234,-7.43,99.4,106.8,66.5,-.019,-6.06,102.3,108.4,-1.08
Charlotte,29,6,23,.207,-10.13,0.27,2,16,4,11,2,12,2066,2317,,72.2,98.2,.390,.345,.533,48.7,45.2,7.8,5.7,.493,18.1,26.3,.279,-12.81,99.3,112.1,71.2,-.024,+0.17,104.6,104.4,-3.21
Chattanooga,33,10,23,.303,-11.09,-4.05,3,15,8,8,1,14,2289,2424,,67.4,101.0,.347,.430,.545,49.2,53.7,7.3,5.6,.511,18.0,27.1,.247,-12.53,99.2,111.8,65.5,-.024,-3.39,103.4,106.8,-2.10
Chicago State,32,3,29,.094,-21.53,1.17,1,13,3,8,0,19,2171,2756,,74.0,91.7,.330,.289,.494,45.5,47.4,9.8,7.0,.452,18.0,26.7,.239,-22.59,96.5,119.1,72.1,-.063,+2.85,106.1,103.3,+6.32
Cincinnati,36,31,5,.861,20.25,3.53,16,2,15,1,9,2,2673,2071,,66.2,112.2,.360,.353,.543,55.6,60.4,10.7,15.8,.512,14.1,38.4,.249,+26.60,113.4,86.8,64.5,-.019,+3.46,106.9,103.4,-4.21
Citadel,32,11,21,.344,-13.63,-2.94,5,13,7,8,3,12,2639,2819,,79.6,102.8,.313,.527,.535,46.1,59.4,11.7,8.2,.504,16.2,27.4,.221,-13.33,101.6,114.9,77.2,+.062,-2.58,103.5,106.1,+0.98
Clemson,35,25,10,.714,17.17,9.25,11,7,15,1,4,6,2584,2307,,67.6,108.5,.335,.399,.566,51.7,51.5,8.3,13.3,.529,15.3,27.0,.253,+21.65,114.2,92.6,66.1,-.009,+10.22,110.6,100.4,-1.91
Cleveland State,35,12,23,.343,-10.82,-3.64,6,12,7,7,2,15,2402,2613,,69.2,98.5,.291,.439,.537,44.3,53.5,9.5,7.3,.509,17.0,22.2,.205,-12.14,97.9,110.0,67.1,+.032,-3.64,102.8,106.5,-1.36
Coastal Carolina,32,14,18,.438,-3.91,-2.40,8,10,7,9,5,7,2298,2241,,69.0,103.3,.387,.364,.535,54.2,53.1,7.7,11.5,.494,18.2,34.5,.279,-4.19,101.8,105.9,67.8,-.052,-2.25,103.5,105.8,+0.76
Colgate,33,19,14,.576,-4.86,-5.73,12,6,13,3,6,11,2394,2315,,67.5,107.5,.291,.451,.554,49.0,51.4,9.0,10.0,.518,14.4,26.0,.225,-3.72,105.0,108.7,66.6,+.030,-6.25,101.7,108.0,-2.44
College of Charleston,34,26,8,.765,1.83,-3.29,14,4,14,0,7,6,2536,2331,,65.9,111.1,.367,.378,.567,49.6,44.2,7.8,9.8,.527,13.2,25.6,.277,+5.16,108.7,103.6,64.9,+.035,-4.06,104.8,108.9,-7.64
Colorado,32,17,15,.531,6.07,7.00,8,10,12,3,1,10,2307,2337,,69.5,102.5,.333,.365,.542,52.4,50.5,6.2,10.5,.506,17.5,29.4,.243,+5.27,104.9,99.6,67.8,+.068,+6.26,110.1,103.8,-0.09
Colorado State,32,11,21,.344,-3.86,3.79,4,14,8,8,3,10,2314,2537,,71.4,100.0,.335,.352,.514,50.7,50.4,8.2,9.5,.476,15.9,30.7,.241,-5.66,102.6,108.3,69.6,+.037,+3.92,107.1,103.2,+1.14
Columbia,27,8,19,.296,-5.64,-3.02,5,9,7,5,1,14,2062,2085,,71.0,106.6,.241,.435,.549,49.0,51.5,9.2,10.4,.522,15.2,27.6,.179,-6.01,107.3,113.3,70.0,-.146,-3.50,102.7,106.2,-1.21
Connecticut,32,14,18,.438,1.08,6.05,7,11,11,5,2,9,2181,2340,,67.3,99.7,.324,.360,.516,48.2,43.8,8.7,11.2,.475,16.0,28.8,.241,-0.43,105.0,105.4,67.0,+.075,+5.89,107.7,101.8,+4.87
Coppin State,32,5,27,.156,-20.97,-7.25,5,11,4,6,1,20,1945,2384,,69.1,86.3,.272,.476,.472,44.8,51.4,7.6,7.0,.433,18.3,22.3,.201,-23.97,86.5,110.5,67.1,-.026,-7.19,100.8,108.0,+5.62
Cornell,28,12,16,.429,-8.80,-3.24,6,8,8,4,4,11,2124,2250,,70.7,104.5,.356,.396,.563,48.0,60.3,7.1,8.7,.529,16.6,24.2,.260,-8.90,104.7,113.6,69.2,+.057,-3.19,103.5,106.6,-1.84
Creighton,33,21,12,.636,16.35,8.10,10,8,16,2,4,7,2756,2444,,72.9,113.7,.259,.450,.599,51.0,58.3,7.7,6.7,.575,13.9,22.3,.194,+16.91,115.5,98.6,70.8,-.028,+9.40,110.8,101.4,-4.20
Dartmouth,27,7,20,.259,-10.31,-4.00,3,11,6,6,1,14,1841,1970,,67.8,100.2,.327,.383,.548,48.5,55.1,8.3,9.3,.517,17.9,23.7,.233,-12.09,98.5,110.6,66.8,-.043,-3.61,103.5,107.1,-2.86
Davidson,33,21,12,.636,11.02,2.57,13,5,11,1,6,8,2519,2240,,65.3,115.6,.246,.484,.602,50.8,61.3,7.1,6.1,.574,13.1,22.3,.196,+14.70,117.0,102.3,64.5,-.063,+2.11,105.6,103.5,+1.33
Dayton,31,14,17,.452,1.64,2.70,8,10,12,4,1,10,2244,2277,,67.0,106.4,.318,.440,.583,49.7,60.7,7.7,7.3,.555,18.1,25.5,.232,+0.02,108.4,108.3,66.3,-.004,+1.36,105.6,104.2,+1.38
DePaul,31,11,20,.355,6.55,8.45,4,14,6,10,4,7,2230,2289,,71.2,100.6,.294,.327,.512,51.7,56.8,9.0,9.2,.479,16.5,32.9,.208,+7.03,104.5,97.5,69.8,-.103,+9.79,111.2,101.5,-4.14
Delaware,33,14,19,.424,-6.93,-2.96,6,12,7,8,4,10,2338,2428,,67.0,105.0,.349,.311,.533,50.2,44.9,7.4,6.4,.508,13.9,27.2,.228,-7.57,102.0,109.6,65.9,+.015,-2.54,105.0,107.6,-3.38
Delaware State,32,4,28,.125,-24.59,-9.32,2,14,4,9,0,18,2034,2458,,66.9,93.5,.290,.332,.502,48.2,46.9,8.7,8.2,.471,19.4,30.2,.201,-27.94,90.3,118.3,64.9,-.094,-9.20,99.6,108.8,+1.72
Denver,30,15,15,.500,-5.22,-2.54,8,6,10,4,3,9,2192,2189,,68.7,104.5,.318,.310,.560,54.4,56.3,6.2,7.4,.535,18.7,31.4,.221,-4.23,102.6,106.8,66.4,+.026,-2.09,104.6,106.6,-3.34
Detroit Mercy,32,8,24,.250,-12.47,-2.07,4,14,5,11,2,11,2516,2743,,75.4,103.8,.306,.401,.541,47.5,49.5,8.7,7.1,.504,15.8,27.6,.231,-14.20,102.6,116.8,72.4,-.011,-2.07,103.6,105.7,+4.64
Drake,34,17,17,.500,-0.51,0.59,10,8,11,3,4,11,2506,2495,,69.4,104.0,.325,.403,.551,48.4,58.5,8.5,6.7,.510,15.3,23.1,.250,+1.09,105.9,104.8,68.4,+.016,+2.22,105.4,103.2,-0.38
