School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Air Force,29,8,21,.276,-3.57,1.99,3,11,6,9,1,11,1667,1828,98.8,.383,.546,.564,43.1,67.5,12.5,6.5,.533,20.7,23.0,.267
Akron,28,12,16,.429,-3.09,1.67,9,9,8,5,4,9,1901,2034,101.9,.494,.322,.568,46.3,61.8,8.6,7.6,.522,21.0,30.3,.359
Alabama A&M,28,17,11,.607,-13.46,-11.79,13,5,11,2,5,9,2056,2091,95.6,.348,.282,.464,49.2,52.2,15.8,7.1,.432,17.6,38.7,.218
Alabama-Birmingham,31,17,14,.548,6.63,4.08,8,8,10,5,6,7,2236,2157,100.4,.377,.293,.504,52.5,49.1,9.3,10.4,.472,17.3,37.6,.244
Alabama State,31,22,9,.710,-8.86,-13.61,15,3,11,2,8,5,2135,1980,98.7,.406,.295,.522,49.5,54.2,12.0,6.9,.489,20.0,34.0,.267
Alabama,36,25,11,.694,14.02,6.27,8,8,18,1,2,7,2761,2482,106.7,.406,.323,.526,54.7,46.0,9.9,11.9,.486,17.3,41.5,.283
Albany (NY),28,6,22,.214,-18.87,-8.67,4,9,1,12,1928,2169,94.4,.303,.267,.509,46.0,44.4,11.0,6.5,.480,18.4,27.4,.204
Alcorn State,30,15,15,.500,-11.98,-10.78,13,5,8,2,6,10,2245,2280,98.5,.417,.266,.523,51.5,46.7,10.0,7.5,.482,21.2,38.1,.289
American,27,7,20,.259,-10.33,-2.81,3,13,6,7,1,13,1579,1782,89.0,.329,.260,.464,51.7,49.2,7.7,11.6,.443,20.2,35.4,.188
Appalachian State,31,11,20,.355,-12.13,-4.24,7,9,6,8,5,9,2005,2186,94.5,.334,.255,.505,53.6,59.8,9.1,6.7,.472,21.6,38.1,.225
Arizona State,29,13,16,.448,11.09,8.99,5,13,10,7,2,8,2121,2060,100.8,.388,.203,.510,54.1,58.8,8.7,11.3,.473,18.0,39.1,.261
Arizona,36,28,8,.778,26.84,12.56,15,3,13,2,7,5,2926,2386,111.5,.441,.255,.568,54.5,57.6,10.8,10.7,.522,17.5,40.0,.330
Little Rock,29,18,11,.621,-0.79,-3.63,9,7,10,3,7,8,2056,1849,103.5,.428,.332,.576,49.4,53.4,11.0,8.7,.542,20.7,30.1,.302
Arkansas-Pine Bluff,27,2,25,.074,-31.20,-8.23,2,16,2,8,0,17,1660,2282,79.1,.327,.248,.432,45.1,44.0,10.0,7.4,.403,21.5,30.3,.193
Arkansas State,30,17,13,.567,-4.23,-2.76,10,6,9,4,6,8,2189,2168,103.5,.337,.304,.536,50.0,51.9,7.3,11.6,.505,17.8,33.6,.234
Arkansas,31,20,11,.645,16.61,6.16,10,6,16,2,3,7,2476,2152,106.8,.321,.372,.540,46.3,54.0,15.7,10.6,.511,16.4,34.6,.222
Army,28,9,19,.321,-15.73,-7.65,3,9,7,7,2,11,2015,2201,96.3,.503,.279,.541,46.7,48.0,8.1,4.6,.482,21.1,28.9,.377
