School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Air Force,30,16,14,.533,0.44,0.19,8,8,12,4,3,7,1760,1715,.454,.441,.563,46.0,64.0,3.8,.527,19.6,.316
Akron,35,24,11,.686,6.24,0.33,11,5,13,3,7,6,2479,2233,.393,.404,.554,49.2,56.0,5.4,.519,16.7,.276
Alabama A&M,29,14,15,.483,-16.14,-12.97,11,7,9,3,5,9,1910,1952,.422,.317,.484,48.9,45.5,10.6,.436,19.6,.289
Alabama-Birmingham,34,23,11,.676,8.35,2.09,12,4,14,1,8,6,2501,2288,.390,.358,.556,51.7,55.1,5.9,.522,17.7,.276
Alabama State,31,20,11,.645,-7.73,-12.70,15,3,11,2,8,8,2202,2016,.333,.307,.533,53.6,56.1,7.2,.511,16.6,.213
Alabama,33,17,16,.515,8.12,5.70,5,11,13,5,1,9,2484,2404,.335,.318,.533,52.1,56.2,7.7,.514,15.5,.208
Albany (NY),30,15,15,.500,-4.05,-5.92,10,6,8,5,7,9,2048,1992,.361,.302,.530,55.4,51.2,4.7,.490,18.1,.262
Alcorn State,31,7,24,.226,-23.12,-11.47,6,12,5,6,2,14,2100,2445,.362,.297,.502,48.1,40.6,2.7,.464,20.3,.250
American,33,21,12,.636,-1.87,-4.00,10,4,11,4,10,7,2140,2049,.413,.402,.564,52.2,55.9,5.3,.522,19.4,.305
Appalachian State,31,18,13,.581,-0.71,-2.77,13,7,9,4,7,7,2214,2147,.370,.367,.573,50.7,53.8,7.8,.545,19.6,.257
Arizona State,34,21,13,.618,10.31,6.28,9,9,15,5,4,6,2271,2106,.401,.415,.576,49.5,63.9,6.2,.537,17.9,.296
Arizona,34,19,15,.559,14.55,10.22,8,10,11,6,6,7,2443,2276,.406,.321,.580,48.8,62.4,6.3,.540,16.4,.304
Little Rock,31,20,11,.645,-3.26,-4.26,11,7,13,3,6,7,2024,1920,.477,.305,.520,53.9,58.7,6.6,.480,20.6,.314
Arkansas-Pine Bluff,31,13,18,.419,-17.80,-12.56,8,10,5,6,7,11,1869,1999,.310,.306,.473,48.9,50.7,8.9,.448,18.2,.191
Arkansas State,30,10,20,.333,-7.75,-2.02,5,13,9,6,1,14,2118,2185,.320,.315,.549,49.0,49.2,4.1,.518,17.6,.230
Arkansas,35,23,12,.657,12.48,6.73,9,7,15,1,2,7,2593,2392,.379,.303,.549,53.1,54.0,9.3,.519,18.4,.257
Army,30,14,16,.467,-8.62,-5.04,6,8,7,7,7,9,1770,1862,.300,.298,.509,47.5,63.1,4.2,.480,21.6,.204
Auburn,30,14,16,.467,2.31,4.70,4,12,8,7,4,7,2141,2183,.315,.397,.548,49.2,58.3,4.4,.525,17.3,.211
Austin Peay,35,24,11,.686,-2.21,-5.24,16,4,13,1,9,8,2590,2477,.443,.373,.558,48.0,58.6,4.0,.517,15.9,.317
Ball State,30,6,24,.200,-5.61,0.50,5,11,5,10,1,13,1733,1918,.356,.268,.476,48.3,49.9,3.3,.440,16.7,.232
Baylor,32,21,11,.656,11.46,5.75,9,7,12,4,6,4,2601,2396,.359,.367,.561,49.9,43.2,7.2,.524,14.8,.267
Belmont,34,25,9,.735,-0.12,-3.44,14,2,14,1,9,5,2714,2497,.332,.471,.564,51.1,62.6,3.3,.537,17.2,.231
Bethune-Cookman,32,11,21,.344,-15.97,-10.89,5,11,6,9,4,10,1862,1976,.448,.259,.522,48.1,51.0,4.9,.484,22.1,.299
Binghamton,30,14,16,.467,-6.84,-6.00,9,7,9,6,5,10,1976,2001,.313,.310,.523,49.5,50.3,4.9,.486,17.7,.229
Boise State,34,25,9,.735,1.60,-2.07,12,4,11,5,12,3,2767,2567,.393,.353,.596,51.7,60.9,3.8,.577,18.7,.260
Boston College,31,14,17,.452,6.46,7.75,4,12,11,8,2,7,2203,2243,.397,.300,.544,50.5,59.0,10.0,.509,19.1,.274
Boston University,31,14,17,.452,-6.69,-4.91,9,7,7,6,6,10,1954,2009,.327,.417,.505,48.7,60.4,5.0,.472,18.4,.222
Bowling Green State,30,13,17,.433,-5.09,-0.63,7,9,8,5,4,10,1904,2038,.350,.297,.515,49.5,54.0,9.0,.486,19.7,.229
Bradley,38,21,17,.553,6.23,4.25,9,9,13,6,7,9,2805,2724,.364,.434,.561,48.8,64.1,4.4,.523,17.6,.271
Brigham Young,35,27,8,.771,11.82,1.33,14,2,16,0,8,5,2580,2213,.374,.388,.556,53.0,64.8,6.6,.532,17.5,.245
Brown,29,19,10,.655,-0.65,-4.65,11,3,9,3,10,7,1997,1881,.471,.409,.600,48.5,63.8,4.5,.558,18.5,.351
Bucknell,31,12,19,.387,-6.88,-3.88,6,8,7,6,4,12,1925,2023,.368,.398,.525,48.8,59.8,5.3,.493,21.5,.250
Buffalo,30,10,20,.333,-3.90,0.61,3,13,7,6,1,12,2146,2251,.317,.283,.492,50.8,51.7,5.2,.458,18.7,.217
Butler,34,30,4,.882,13.00,2.64,16,2,14,1,11,2,2339,1985,.367,.485,.576,48.9,57.3,4.9,.541,14.8,.271
Cal Poly,30,12,18,.400,-9.48,-2.08,7,9,7,5,4,11,1896,2071,.339,.381,.490,48.1,50.1,5.9,.458,17.3,.222
Cal State Fullerton,33,24,9,.727,5.64,-3.06,12,4,11,3,9,5,2700,2398,.323,.360,.568,50.7,51.8,2.7,.542,15.8,.227
Cal State Northridge,30,20,10,.667,1.23,-2.81,12,4,10,3,9,5,2340,2132,.320,.333,.551,50.5,53.5,5.8,.524,18.4,.221
UC-Davis,31,9,22,.290,-15.02,-2.68,2,14,8,7,1,15,1962,2215,.341,.421,.559,44.4,60.5,4.7,.517,21.4,.266
UC-Irvine,34,18,16,.529,-1.20,-2.41,9,7,12,2,3,10,2311,2237,.332,.349,.557,48.6,50.9,4.3,.521,17.4,.247
UC-Riverside,30,9,21,.300,-10.73,-2.02,4,12,8,5,0,15,1803,2029,.395,.271,.506,51.8,52.1,3.8,.465,21.4,.272
UC-Santa Barbara,32,23,9,.719,1.17,-3.16,12,4,11,3,10,5,2232,2063,.351,.346,.561,47.2,60.8,4.5,.523,18.8,.264
University of California,33,17,16,.515,9.36,8.45,6,12,11,8,5,7,2521,2478,.361,.322,.566,52.2,55.8,4.1,.523,16.7,.280
Campbell,30,10,20,.333,-11.91,-6.62,5,11,7,8,3,12,2144,2237,.433,.334,.526,51.0,63.5,5.0,.483,19.8,.303
Canisius,31,6,25,.194,-14.30,-3.14,2,16,5,8,0,15,1923,2269,.279,.404,.491,48.4,53.1,7.4,.466,20.5,.181
Centenary (LA),31,10,21,.323,-10.86,-1.71,4,14,6,6,3,14,2164,2395,.376,.328,.536,45.7,54.2,5.1,.497,19.2,.270
Central Connecticut State,30,14,16,.467,-5.31,-6.68,10,8,8,6,6,10,2095,2054,.292,.354,.545,51.5,58.5,5.3,.517,18.6,.206
Central Florida,31,16,15,.516,5.61,3.16,9,7,12,4,3,8,2269,2139,.372,.364,.552,50.7,59.5,6.4,.517,17.4,.265
Central Michigan,31,14,17,.452,-3.22,0.19,8,8,8,3,5,12,2208,2244,.376,.367,.532,49.4,41.2,5.8,.500,19.1,.255
Charleston Southern,30,10,20,.333,-15.23,-4.63,4,10,9,6,1,14,2225,2307,.266,.400,.528,49.8,52.2,3.7,.506,17.4,.179
Charlotte,34,20,14,.588,6.54,4.34,9,7,13,3,4,8,2366,2291,.417,.406,.510,49.4,56.2,6.5,.471,17.4,.281
Chattanooga,31,18,13,.581,-1.22,-1.12,13,7,13,3,4,7,2344,2260,.456,.399,.556,53.9,56.7,4.0,.528,20.5,.297
Chicago State,28,11,17,.393,-10.63,1.47,5,4,4,13,2050,2221,.302,.367,.536,47.4,53.6,7.0,.510,19.2,.206
