School,G,W,L,W-L%,SRS,SOS,ConfW,ConfL,HomeW,HomeL,AwayW,AwayL,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,OppO,OppD,NCSOS AdjEM
Abilene Christian,31,10,21,.323,-17.04,-6.18,4,14,9,7,1,14,1976,2186,0,695,1684,.413,232,610,.380,354,487,.727,274,897,394,203,38,399,661,65.9,96.7,.289,.362,.516,44.6,56.7,9.9,3.5,.482,17.4,25.5,.210,.1163,92.8,110.8,63.6,-.003,.3799,100.8,105.2,.4689
Air Force,31,14,17,.452,-1.53,-0.39,6,12,13,6,1,11,2037,2017,0,742,1565,.474,232,625,.371,321,487,.659,265,930,483,195,65,366,552,61.1,107.1,.311,.399,.567,49.4,65.1,10.3,6.9,.548,17.1,29.1,.205,.4159,106.1,109.2,61.9,-.065,.4539,100.4,102.0,.2344
Akron,35,21,14,.600,4.10,-0.02,9,9,19,5,2,9,2382,2203,0,824,1982,.416,328,937,.350,406,617,.658,420,1249,435,230,155,422,654,64.7,104.8,.311,.473,.523,50.5,52.8,10.1,14.8,.498,15.8,33.4,.205,.6589,102.7,97.0,63.8,-.041,.4788,102.4,103.1,.3194
Alabama,33,19,14,.576,11.11,8.39,8,10,15,7,4,7,2214,2107,0,736,1663,.443,215,670,.321,527,733,.719,315,1089,341,212,124,401,633,63.0,105.5,.441,.403,.550,49.9,46.3,10.1,12.5,.507,16.8,30.1,.317,.7788,109.4,98.1,62.2,-.023,.6855,105.8,98.9,.4917
Alabama A&M,29,9,20,.310,-16.94,-9.40,8,10,4,8,5,12,1797,1988,0,608,1533,.397,166,577,.288,415,643,.645,367,998,354,165,68,413,573,64.5,95.6,.419,.376,.489,49.5,58.2,8.8,7.1,.451,18.5,35.8,.271,.1243,94.8,112.3,63.7,-.022,.2855,96.7,104.8,.6794
Alabama State,29,19,10,.655,-8.81,-12.55,14,4,11,5,8,5,2090,1937,0,761,1738,.438,172,480,.358,396,609,.650,389,1151,393,184,122,397,520,69.8,102.9,.350,.276,.515,53.5,51.6,9.1,9.7,.487,16.5,35.9,.228,.2979,95.9,103.3,67.5,+.030,.1965,94.6,106.9,.4868
Alabama-Birmingham,34,19,15,.559,1.82,1.00,12,6,16,7,3,8,2341,2301,0,820,1907,.430,187,563,.332,514,694,.741,403,1244,490,225,176,461,599,65.8,101.7,.364,.295,.523,51.1,59.8,9.8,13.1,.479,17.2,34.1,.270,.5951,103.7,100.3,64.9,+.011,.4990,101.5,101.5,.5953
Albany (NY),32,24,8,.750,-0.50,-5.78,15,1,12,3,12,5,2096,1927,0,706,1605,.440,197,547,.360,487,640,.761,320,1077,334,181,52,374,528,61.2,106.6,.399,.341,.549,53.8,47.3,9.2,4.9,.501,16.5,32.5,.303,.5658,104.0,101.6,61.3,+.060,.3464,98.5,104.1,.5189
Alcorn State,32,6,26,.188,-20.60,-9.80,4,14,5,11,1,15,2066,2377,0,724,1864,.388,155,553,.280,463,704,.658,376,1038,285,191,86,367,571,68.3,94.6,.378,.297,.470,46.4,39.4,8.7,6.6,.430,14.4,31.1,.248,.0727,92.5,115.4,67.1,-.059,.2810,96.7,104.9,.6482
American,33,17,16,.515,-3.38,-3.53,8,10,10,3,7,13,1938,1933,0,683,1479,.462,213,571,.373,359,509,.705,187,827,408,196,84,370,484,57.1,101.4,.344,.386,.563,45.7,59.7,10.3,9.3,.534,17.8,21.3,.243,.4412,101.2,103.3,57.6,+.015,.4468,101.7,103.6,.5686
Appalachian State,29,12,17,.414,-9.83,-3.21,9,11,7,5,5,12,1841,2033,0,637,1602,.398,186,588,.316,381,537,.709,329,1010,318,122,61,397,551,66.5,95.4,.335,.367,.496,50.0,49.9,6.3,6.0,.456,17.8,31.2,.238,.2901,97.6,105.4,65.8,+.073,.4525,100.9,102.6,.5314
Arizona,34,31,3,.912,24.77,6.95,16,2,23,0,8,3,2599,1993,0,908,1855,.489,172,478,.360,611,874,.699,368,1266,483,244,122,381,609,66.8,114.0,.471,.258,.572,56.7,53.2,10.7,8.9,.536,14.5,34.1,.329,.9675,116.0,86.4,66.7,-.028,.6473,105.1,99.7,.4992
Arizona State,32,17,15,.531,9.88,6.88,9,9,15,5,2,10,2222,2126,0,756,1701,.444,218,626,.348,492,736,.668,343,1107,414,189,73,444,606,66.0,103.6,.433,.368,.542,52.6,54.8,8.8,6.8,.509,18.0,31.9,.289,.7376,107.4,98.2,66.0,-.033,.6413,104.2,99.1,.4305
Arkansas,34,26,8,.765,14.85,6.96,13,5,19,3,7,5,2653,2385,0,932,2083,.447,227,648,.350,562,776,.724,442,1216,549,264,162,399,645,70.2,110.2,.373,.311,.541,50.3,58.9,11.0,11.3,.502,14.1,35.6,.270,.8462,113.1,97.5,70.0,+.047,.6521,105.3,99.7,.4469
Arkansas-Pine Bluff,32,12,20,.375,-15.46,-8.43,9,9,7,6,5,14,1915,2140,0,657,1639,.401,204,613,.333,397,584,.680,326,927,323,283,108,489,623,64.7,92.2,.356,.374,.500,45.0,49.2,13.6,10.5,.463,20.5,30.5,.242,.1458,91.6,106.8,64.1,+.036,.3137,98.3,105.2,.6180
Army,30,15,15,.500,-6.32,-4.81,6,12,8,7,7,8,2164,2163,0,779,1768,.441,227,697,.326,379,557,.680,325,1033,437,192,106,396,612,69.0,103.2,.315,.394,.532,49.3,56.1,9.2,9.9,.505,16.4,30.4,.214,.2895,97.4,105.3,69.9,+.033,.3669,101.0,105.9,.3661
Auburn,35,15,20,.429,3.75,8.63,4,14,13,10,2,10,2378,2523,0,760,1881,.404,252,727,.347,606,910,.666,356,1104,376,238,89,452,708,67.9,99.0,.484,.386,.514,46.0,49.5,9.9,7.7,.471,16.5,28.0,.322,.5584,103.6,101.5,68.0,+.058,.7108,105.3,97.4,.5382
Austin Peay,30,8,22,.267,-12.47,-2.83,3,13,7,8,1,14,1937,2178,0,663,1667,.398,155,513,.302,456,685,.666,373,1043,360,191,124,428,514,68.2,94.6,.411,.308,.486,50.3,54.3,9.3,10.7,.444,17.9,33.0,.274,.1748,92.8,106.2,67.2,-.005,.4650,102.5,103.8,.5219
Ball State,30,7,23,.233,-4.61,0.50,2,16,6,9,1,14,1961,2070,0,669,1580,.423,234,684,.342,389,561,.693,303,980,383,159,71,424,576,64.0,99.9,.355,.433,.531,50.2,57.2,8.1,7.9,.497,18.8,30.2,.246,.2919,98.2,106.0,63.7,-.130,.5357,103.0,101.7,.3979
Baylor,33,24,9,.727,19.00,10.19,11,7,18,4,6,5,2293,1991,0,794,1831,.434,229,607,.377,476,710,.670,485,1293,483,261,131,413,552,62.9,109.6,.388,.332,.529,55.7,60.8,12.5,10.7,.496,16.2,42.2,.260,.9039,114.8,94.5,62.2,-.018,.7358,106.5,97.4,.4995
Belmont,32,22,10,.688,0.06,-3.56,11,5,15,2,7,8,2383,2251,0,831,1746,.476,321,841,.382,400,579,.691,301,1064,492,205,64,439,527,67.6,110.1,.332,.482,.590,50.5,59.2,9.5,7.1,.568,18.0,29.3,.229,.5424,107.9,106.3,67.0,+.071,.4148,100.5,103.6,.4837
Bethune-Cookman,32,11,21,.344,-15.34,-10.27,7,9,7,10,4,11,1899,2003,0,627,1567,.400,163,542,.301,482,672,.717,372,1056,264,174,84,449,623,61.3,96.7,.429,.346,.503,51.1,42.1,8.9,8.2,.452,19.4,35.6,.308,.1223,90.6,107.6,60.5,-.033,.2528,97.8,107.4,.3339
Binghamton,32,6,26,.188,-13.27,-3.30,5,11,5,11,1,15,1845,2124,0,633,1598,.396,171,554,.309,408,618,.660,288,992,278,186,80,433,577,63.4,90.7,.387,.347,.488,46.9,43.9,9.1,7.7,.450,18.8,26.5,.255,.1429,93.0,108.6,63.3,-.047,.4329,100.0,102.3,.5740
Boise State,33,25,8,.758,10.31,1.37,14,4,16,3,9,5,2335,1989,0,809,1768,.458,291,738,.394,426,581,.733,286,1086,399,201,78,339,564,62.6,110.9,.329,.417,.571,51.9,49.3,9.5,7.6,.540,14.3,28.2,.241,.8077,109.4,96.6,63.7,+.027,.5168,102.7,102.1,.5256
Boston College,32,13,19,.406,6.56,8.18,4,14,11,12,2,7,2105,2157,0,743,1668,.445,207,638,.324,412,584,.705,264,984,421,183,86,389,607,63.9,101.4,.350,.382,.541,48.0,56.7,8.8,8.3,.507,16.8,26.1,.247,.6120,105.5,101.4,63.7,-.035,.6617,105.2,99.3,.3716
Boston University,30,13,17,.433,-5.44,-2.92,9,9,8,7,5,10,2037,2087,0,668,1498,.446,232,631,.368,469,674,.696,263,953,368,170,56,369,522,63.7,105.7,.450,.421,.560,50.7,55.1,8.8,6.5,.523,17.1,28.5,.313,.3319,103.7,110.2,64.8,+.006,.4402,101.7,103.9,.5785
Bowling Green State,32,21,11,.656,4.10,-0.96,11,7,11,6,10,5,2137,1994,0,759,1749,.434,213,623,.342,404,565,.715,343,1122,396,215,117,375,537,63.7,104.3,.323,.356,.530,51.2,52.2,10.5,10.4,.495,15.8,31.5,.231,.6515,105.1,99.6,63.7,-.014,.4731,102.1,103.0,.3700
Bradley,33,9,24,.273,-4.37,1.44,3,15,8,13,1,11,1882,2026,0,639,1700,.376,179,594,.301,425,641,.663,377,1098,308,227,93,418,645,61.1,91.9,.377,.349,.469,50.5,48.2,11.1,8.4,.429,17.4,32.5,.250,.2726,91.0,99.2,62.4,-.044,.5329,103.0,101.8,.4124
Brigham Young,35,25,10,.714,14.07,5.56,13,5,17,7,8,3,2931,2561,0,976,2090,.467,300,763,.393,679,886,.766,421,1349,594,257,103,417,721,70.7,116.7,.424,.365,.584,53.2,60.9,10.2,7.8,.539,14.4,34.1,.325,.8329,116.5,101.3,70.8,-.055,.6159,105.1,100.9,.5908
Brown,31,13,18,.419,-7.04,-1.80,4,10,10,6,3,12,2048,2144,0,686,1623,.423,175,549,.319,501,727,.689,324,1129,369,139,138,460,591,67.6,97.3,.448,.338,.520,51.1,53.8,6.6,12.8,.477,19.1,30.6,.309,.3008,97.6,105.0,68.0,+.049,.4673,100.6,101.8,.4264
Bryant,31,16,15,.516,-6.10,-4.75,12,6,9,5,7,10,2058,2100,0,709,1683,.421,226,653,.346,414,552,.750,306,1029,381,157,77,366,560,63.8,102.9,.328,.388,.529,49.0,53.7,7.9,7.5,.488,16.0,29.5,.246,.3366,102.7,109.0,63.3,+.064,.4029,99.8,103.3,.5974
Bucknell,33,19,14,.576,-3.63,-2.88,13,5,13,4,6,10,2272,2273,0,776,1757,.442,224,578,.388,496,708,.701,319,1094,431,137,94,366,611,64.0,106.0,.403,.329,.543,51.4,55.5,6.4,8.0,.505,15.0,29.5,.282,.4156,103.9,107.0,64.7,+.087,.4233,102.2,105.0,.5747
Buffalo,32,23,9,.719,8.28,1.56,12,6,13,2,10,7,2400,2185,0,817,1878,.435,193,567,.340,573,794,.722,412,1230,421,244,129,361,589,68.9,108.9,.423,.302,.532,52.1,51.5,11.1,9.8,.486,13.9,34.7,.305,.7744,109.7,98.5,69.2,+.011,.5741,104.6,101.9,.5942
Butler,32,22,10,.688,16.71,8.33,12,6,15,6,7,4,2226,1958,0,777,1771,.439,184,514,.358,488,718,.680,390,1175,368,204,94,364,564,64.5,106.5,.405,.290,.527,54.8,47.4,9.8,7.5,.491,14.9,35.5,.276,.8625,107.5,91.7,63.8,-.014,.6832,107.0,100.0,.4920
Cal Poly,29,13,16,.448,-0.31,0.69,6,10,8,6,5,10,1752,1721,0,620,1589,.390,166,533,.311,346,506,.684,342,1002,295,158,87,255,465,59.3,101.0,.318,.335,.479,51.0,47.6,9.1,8.2,.442,12.3,32.6,.218,.5060,100.5,100.3,58.9,-.056,.5601,103.7,101.6,.6633
Cal State Bakersfield,33,14,19,.424,-6.45,-5.85,7,7,11,8,3,11,2100,2028,0,715,1703,.420,186,554,.336,484,669,.723,368,1143,427,190,59,409,673,61.2,102.1,.393,.325,.520,53.8,59.7,9.2,5.1,.474,17.0,34.2,.284,.3000,98.2,105.7,61.0,-.120,.3296,98.4,104.6,.4394
Cal State Fullerton,31,9,22,.290,-8.39,-0.88,1,15,8,9,1,13,1991,2155,0,698,1695,.412,167,523,.319,428,623,.687,323,1088,305,156,62,391,566,65.6,96.7,.368,.309,.500,50.7,43.7,7.6,5.3,.461,16.6,29.2,.253,.2213,96.9,108.1,66.3,-.009,.4881,101.2,101.6,.4390
Cal State Northridge,33,9,24,.273,-6.48,0.52,4,12,8,10,1,14,2148,2325,0,740,1742,.425,110,337,.326,558,729,.765,325,1133,443,180,125,435,597,65.9,98.0,.418,.193,.514,50.4,59.9,8.2,8.9,.456,17.4,29.7,.320,.2763,98.8,107.4,65.5,-.041,.5368,102.8,101.5,.5486
Campbell,32,10,22,.313,-11.08,-5.25,4,14,9,7,1,15,2045,2124,0,705,1654,.426,262,736,.356,373,597,.625,305,988,419,226,92,403,576,63.3,100.6,.361,.445,.528,48.4,59.4,11.1,10.0,.505,17.4,28.5,.226,.2283,96.6,107.3,61.6,-.090,.4187,102.5,105.5,.5428
Canisius,30,16,14,.533,-0.97,-2.91,11,9,9,6,7,8,1926,1868,0,677,1686,.402,192,609,.315,380,535,.710,368,1044,420,200,99,361,552,63.8,99.8,.317,.361,.496,50.1,62.0,10.4,9.2,.458,15.8,34.1,.225,.4342,99.3,101.6,63.1,-.036,.4134,99.7,102.8,.5065
Central Arkansas,29,2,27,.069,-22.67,-5.78,2,16,2,11,0,16,1894,2384,0,646,1524,.424,196,556,.353,406,599,.678,273,903,361,182,114,529,604,71.3,91.6,.393,.365,.524,45.8,55.9,8.8,11.8,.488,22.8,28.0,.266,.0568,90.3,115.3,69.4,+.004,.3746,100.6,105.2,.4745
Central Connecticut State,31,5,26,.161,-16.38,-5.44,3,15,4,12,1,14,1834,2173,0,674,1675,.402,146,454,.322,340,479,.710,332,1046,340,153,109,425,429,64.0,92.1,.286,.271,.482,48.9,50.4,7.7,8.9,.446,18.4,30.9,.203,.1026,91.6,110.6,63.5,-.012,.3588,99.1,104.2,.4073
