Team1,Team2,Points1,Points2,Result,G1,W1,L1,W-L%1,SRS1,SOS1,ConfW1,ConfL1,HomeW1,HomeL1,AwayW1,AwayL1,Tm.1,Opp.1,MP1,FG1,FGA1,FG%1,3P1,3PA1,3P%1,FT1,FTA1,FT%1,ORB1,TRB1,AST1,STL1,BLK1,TOV1,PF1,Pace1,ORtg1,FTr1,3PAr1,TS%1,TRB%1,AST%1,STL%1,BLK%1,eFG%1,TOV%1,ORB%1,FT/FGA1,AdjEM1,AdjO1,AdjD1,AdjT1,Luck1,SOS AdjEM1,OppO1,OppD1,NCSOS AdjEM1,G2,W2,L2,W-L%2,SRS2,SOS2,ConfW2,ConfL2,HomeW2,HomeL2,AwayW2,AwayL2,Tm.2,Opp.2,MP2,FG2,FGA2,FG%2,3P2,3PA2,3P%2,FT2,FTA2,FT%2,ORB2,TRB2,AST2,STL2,BLK2,TOV2,PF2,Pace2,ORtg2,FTr2,3PAr2,TS%2,TRB%2,AST%2,STL%2,BLK%2,eFG%2,TOV%2,ORB%2,FT/FGA2,AdjEM2,AdjO2,AdjD2,AdjT2,Luck2,SOS AdjEM2,OppO2,OppD2,NCSOS AdjEM2
Coastal Carolina,Wisconsin,72,86,0,33,24,9,.727,-1.43,-7.25,12,6,16,2,8,7,2366,2035,0,808,1841,.439,221,621,.356,529,769,.688,440,1313,376,232,110,393,545,65.2,109.9,.418,.337,.536,56.1,46.5,10.8,9.0,.499,15.3,37.9,.287,.5393,103.6,102.2,64.4,+.006,.3469,100.4,106.1,.4904,34,31,3,.912,24.90,9.14,16,2,15,1,16,2,2444,1908,0,860,1793,.480,237,663,.357,487,638,.763,322,1145,432,154,119,252,409,59.2,120.5,.356,.370,.583,54.9,50.2,7.6,10.5,.546,10.8,31.9,.272,.9605,124.6,94.4,58.8,+.009,.6988,105.9,98.5,.6265
Oregon,Oklahoma State,79,73,1,34,25,9,.735,11.33,7.30,13,5,18,3,7,6,2569,2405,0,937,2031,.461,248,688,.360,447,588,.760,359,1236,484,195,147,401,623,68.2,109.2,.290,.339,.556,51.0,51.7,8.3,10.9,.522,14.9,31.2,.220,.7975,113.4,100.6,66.5,+.127,.6532,105.5,99.9,.4316,31,18,13,.581,14.00,10.37,8,10,14,4,4,9,2087,1932,0,706,1607,.439,216,618,.350,459,632,.726,278,1008,355,245,156,380,597,64.5,103.6,.393,.385,.547,48.5,50.3,12.2,15.8,.507,16.8,27.8,.286,.8142,109.4,96.2,63.3,-.034,.7384,105.7,96.6,.4666
Arkansas,Wofford,56,53,1,34,26,8,.765,14.85,6.96,13,5,19,3,7,5,2653,2385,0,932,2083,.447,227,648,.350,562,776,.724,442,1216,549,264,162,399,645,70.2,110.2,.373,.311,.541,50.3,58.9,11.0,11.3,.502,14.1,35.6,.270,.8462,113.1,97.5,70.0,+.047,.6521,105.3,99.7,.4469,34,28,6,.824,2.38,-3.44,16,2,13,1,15,5,2278,2033,0,800,1745,.458,215,572,.376,463,672,.689,310,1102,454,223,86,371,574,62.9,106.6,.385,.328,.552,51.1,56.8,10.4,7.3,.520,15.4,28.9,.265,.6617,103.3,97.5,61.5,+.141,.4108,102.3,105.6,.6572
North Carolina,Harvard,67,65,1,35,24,11,.686,21.29,11.78,11,7,13,6,11,5,2727,2394,0,1019,2145,.475,167,484,.345,522,746,.700,488,1436,621,233,154,444,675,69.4,111.4,.348,.226,.546,55.5,60.9,9.5,9.3,.514,15.2,39.9,.243,.9002,115.2,95.1,70.0,-.034,.7644,108.1,97.6,.6969,29,22,7,.759,4.17,-0.79,12,3,13,3,9,4,1861,1660,0,650,1493,.435,141,399,.353,420,589,.713,304,999,374,204,133,342,456,61.2,103.0,.395,.267,.525,52.8,57.5,11.3,12.2,.483,16.3,32.7,.281,.7047,102.0,94.6,61.5,+.114,.4976,102.3,102.4,.5308
Mississippi,Xavier,57,76,0,33,21,12,.636,12.18,7.09,11,7,10,8,11,4,2418,2250,0,824,1930,.427,214,635,.337,556,718,.774,413,1245,434,218,124,370,647,67.1,108.5,.372,.329,.532,51.9,52.7,9.8,9.6,.482,14.1,34.8,.288,.8098,113.3,99.9,66.8,-.045,.6718,105.0,98.7,.4866,34,21,13,.618,15.30,9.39,9,9,13,3,8,10,2501,2300,0,885,1870,.473,214,613,.349,517,713,.725,340,1184,557,207,97,411,614,66.0,109.4,.381,.328,.566,52.7,62.9,9.1,7.7,.530,15.8,31.3,.276,.8522,111.9,96.1,65.7,-.063,.7260,106.7,98.0,.5529
Georgia State,Baylor,57,56,1,33,24,9,.727,5.02,-3.17,15,5,14,1,10,8,2375,2053,0,854,1778,.480,163,492,.331,504,693,.727,308,1081,450,300,138,352,607,64.8,109.8,.390,.277,.564,49.5,52.7,13.9,10.7,.526,14.5,30.4,.283,.7401,108.5,99.1,63.3,-.008,.4522,100.1,101.8,.5970,33,24,9,.727,19.00,10.19,11,7,18,4,6,5,2293,1991,0,794,1831,.434,229,607,.377,476,710,.670,485,1293,483,261,131,413,552,62.9,109.6,.388,.332,.529,55.7,60.8,12.5,10.7,.496,16.2,42.2,.260,.9039,114.8,94.5,62.2,-.018,.7358,106.5,97.4,.4995
Virginia Commonwealth,Ohio State,72,75,0,35,26,9,.743,12.95,5.97,12,6,12,4,14,5,2537,2293,0,872,2076,.420,283,828,.342,510,778,.656,431,1240,442,338,151,373,673,66.6,106.6,.375,.399,.519,49.1,50.7,14.2,12.1,.488,13.4,31.7,.246,.8424,108.3,93.6,67.1,+.059,.6713,105.8,99.4,.7200,33,23,10,.697,20.34,6.92,11,7,18,2,5,8,2502,2059,0,916,1886,.486,225,605,.372,445,656,.678,372,1183,509,257,168,373,529,66.2,114.1,.348,.321,.569,52.1,55.6,11.7,13.1,.545,14.6,34.1,.236,.8651,111.5,94.9,66.4,-.051,.6159,105.1,100.8,.3415
Texas Southern,Arizona,72,93,0,34,22,12,.647,-5.98,-6.71,16,2,9,1,13,11,2318,2293,0,794,1789,.444,180,562,.320,550,831,.662,386,1174,370,209,106,445,590,64.4,103.5,.465,.314,.531,50.3,46.6,9.3,8.6,.494,17.1,34.0,.307,.4122,101.7,104.9,63.9,+.131,.3584,99.1,104.3,.8274,34,31,3,.912,24.77,6.95,16,2,23,0,8,3,2599,1993,0,908,1855,.489,172,478,.360,611,874,.699,368,1266,483,244,122,381,609,66.8,114.0,.471,.258,.572,56.7,53.2,10.7,8.9,.536,14.5,34.1,.329,.9675,116.0,86.4,66.7,-.028,.6473,105.1,99.7,.4992
Oregon,Wisconsin,65,72,0,34,25,9,.735,11.33,7.30,13,5,18,3,7,6,2569,2405,0,937,2031,.461,248,688,.360,447,588,.760,359,1236,484,195,147,401,623,68.2,109.2,.290,.339,.556,51.0,51.7,8.3,10.9,.522,14.9,31.2,.220,.7975,113.4,100.6,66.5,+.127,.6532,105.5,99.9,.4316,34,31,3,.912,24.90,9.14,16,2,15,1,16,2,2444,1908,0,860,1793,.480,237,663,.357,487,638,.763,322,1145,432,154,119,252,409,59.2,120.5,.356,.370,.583,54.9,50.2,7.6,10.5,.546,10.8,31.9,.272,.9605,124.6,94.4,58.8,+.009,.6988,105.9,98.5,.6265
North Carolina,Arkansas,87,78,1,35,24,11,.686,21.29,11.78,11,7,13,6,11,5,2727,2394,0,1019,2145,.475,167,484,.345,522,746,.700,488,1436,621,233,154,444,675,69.4,111.4,.348,.226,.546,55.5,60.9,9.5,9.3,.514,15.2,39.9,.243,.9002,115.2,95.1,70.0,-.034,.7644,108.1,97.6,.6969,34,26,8,.765,14.85,6.96,13,5,19,3,7,5,2653,2385,0,932,2083,.447,227,648,.350,562,776,.724,442,1216,549,264,162,399,645,70.2,110.2,.373,.311,.541,50.3,58.9,11.0,11.3,.502,14.1,35.6,.270,.8462,113.1,97.5,70.0,+.047,.6521,105.3,99.7,.4469
