School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Air Force,28,8,20,.286,-5.07,2.58,4,10,1889,2046,96.5,.365,.353,.481,49.7,51.4,12.4,4.8,.446,17.2,35.8,.237
Akron,28,17,11,.607,3.44,1.32,11,7,2126,2009,105.5,.487,.258,.548,49.4,61.1,11.2,7.2,.490,16.7,33.0,.372
Alabama A&M,28,18,10,.643,-12.27,-12.07,14,4,2126,2036,97.7,.343,.285,.474,49.6,50.5,16.8,9.1,.440,18.5,41.2,.223
Alabama-Birmingham,28,14,14,.500,3.41,4.94,7,9,2053,2096,96.7,.375,.263,.492,49.4,49.5,12.1,8.0,.457,17.8,36.0,.245
Alabama State,28,13,15,.464,-16.56,-12.35,10,8,1867,1931,91.9,.433,.288,.499,49.6,52.6,11.7,6.7,.464,22.1,35.5,.277
Alabama,29,13,16,.448,7.44,7.62,6,10,2094,2099,.404,.324,.528,43.6,.485,.287
Albany (NY),28,11,17,.393,-15.51,-9.59,1828,1920,94.2,.249,.420,.529,43.5,60.6,12.1,9.3,.506,21.3,26.0,.172
Alcorn State,29,19,10,.655,-9.90,-11.60,15,3,2161,2036,100.4,.379,.263,.530,52.2,53.5,13.9,5.5,.483,21.2,40.4,.265
American,29,11,18,.379,-6.13,-3.42,5,11,1904,1962,90.8,.318,.231,.465,48.9,52.7,13.1,9.8,.435,18.9,35.7,.201
Appalachian State,32,23,9,.719,2.49,-3.75,13,3,2530,2228,107.6,.375,.274,.571,50.6,58.4,13.8,9.9,.539,18.6,34.3,.266
Arizona State,32,19,13,.594,12.11,8.75,10,8,2539,2395,103.8,.341,.226,.514,52.0,55.8,11.2,7.0,.472,16.4,39.1,.249
Arizona,34,27,7,.794,18.97,9.70,15,3,2599,2284,104.4,.441,.244,.544,51.8,59.4,10.2,12.9,.497,17.6,35.4,.322
Little Rock,28,4,24,.143,-12.17,-2.77,1,15,1885,2148,97.8,.369,.338,.537,46.6,49.7,7.8,5.5,.504,19.5,28.7,.254
Arkansas-Pine Bluff,27,6,21,.222,-24.29,-10.05,5,13,1828,2164,85.7,.425,.229,.485,48.2,49.0,13.0,6.9,.456,23.9,32.9,.254
Arkansas State,28,10,18,.357,-4.73,-0.48,7,9,2004,2123,99.3,.334,.348,.528,46.7,59.2,10.6,5.6,.495,18.3,30.2,.235
