School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Air Force,28,12,16,.429,1.71,1.46,3,11,9,4,3,10,1603,1596,.430,.523,.597,41.4,67.9,4.2,.579,19.3,.280
Akron,28,14,14,.500,-0.80,-1.43,9,9,10,5,4,9,2201,2155,.462,.286,.578,46.7,56.2,4.3,.536,15.5,.337
Alabama A&M,27,8,19,.296,-16.71,-11.83,4,14,6,7,2,12,1962,2072,.349,.335,.501,48.2,60.1,3.7,.460,20.5,.247
Alabama-Birmingham,34,21,13,.618,7.60,3.89,8,8,12,4,4,9,2640,2477,.325,.305,.525,46.4,52.6,5.2,.495,16.4,.222
Alabama State,29,14,15,.483,-10.33,-10.00,11,7,9,4,5,9,1860,1846,.299,.319,.508,51.6,49.6,6.0,.483,21.0,.194
Alabama,29,17,12,.586,13.36,9.40,7,9,13,2,1,8,2002,1887,.364,.344,.516,52.6,50.6,7.0,.476,16.4,.260
Albany (NY),28,7,21,.250,-14.87,-5.09,3,13,5,9,2,11,1846,2120,.236,.386,.516,41.3,49.6,3.4,.487,16.4,.173
Alcorn State,33,14,19,.424,-12.39,-8.36,10,8,7,3,5,12,2280,2413,.356,.280,.503,50.0,55.5,6.0,.469,21.2,.238
American,30,16,14,.533,-1.38,-5.85,9,5,11,1,3,13,1991,1857,.309,.432,.541,49.1,60.7,3.2,.515,17.6,.210
Appalachian State,29,19,10,.655,-1.92,-3.46,11,5,12,2,6,7,2434,2309,.399,.340,.543,50.4,54.1,7.2,.503,17.5,.286
Arizona State,32,20,12,.625,15.01,9.27,11,7,12,3,4,6,2464,2257,.453,.220,.552,53.0,57.1,7.7,.518,16.4,.305
Arizona,32,28,4,.875,23.42,8.95,17,1,14,1,11,1,2725,2262,.368,.306,.549,54.0,58.5,6.5,.515,15.9,.261
Little Rock,30,18,12,.600,-0.94,-0.91,8,6,11,2,4,8,2125,2111,.439,.342,.556,49.3,49.5,4.6,.521,20.7,.303
Arkansas-Pine Bluff,28,4,24,.143,-24.22,-4.54,4,14,2,8,2,16,1526,2077,.324,.311,.436,41.6,52.3,4.6,.399,23.3,.208
Arkansas State,28,13,15,.464,-0.06,-1.37,6,8,9,5,3,9,2072,1918,.395,.394,.563,47.6,51.6,3.3,.522,16.7,.294
Arkansas,28,9,19,.321,4.67,9.57,4,12,8,8,1,9,1726,1863,.352,.352,.475,53.8,45.0,6.7,.447,20.5,.215
Army,27,5,22,.185,-19.72,-5.92,0,14,4,9,1,12,1482,1769,.273,.350,.509,47.9,59.7,3.4,.481,24.1,.186
Auburn,34,22,12,.647,12.68,8.34,8,8,13,4,4,5,2408,2235,.362,.303,.543,51.5,52.0,9.1,.517,19.6,.239
Austin Peay,31,23,8,.742,-0.84,-1.98,13,3,14,0,6,7,2204,2101,.436,.336,.554,50.9,55.9,8.1,.518,19.3,.301
Ball State,30,13,17,.433,-0.57,2.17,8,10,9,5,2,11,2199,2281,.366,.276,.516,49.3,40.5,4.1,.473,15.3,.266
Baylor,28,14,14,.500,6.04,5.44,5,11,10,6,2,7,1932,1915,.302,.458,.520,48.1,60.2,5.0,.485,16.7,.219
