School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Air Force,32,18,14,.563,4.18,4.28,8,8,13,2,3,11,2241,2170,64.8,107.6,.314,.421,.577,45.8,63.9,9.9,5.5,.551,16.4,24.8,.224
Akron,33,26,7,.788,8.11,0.18,14,2,15,1,7,4,2369,2071,66.4,106.5,.362,.368,.539,51.9,56.9,10.4,14.7,.516,17.3,37.7,.233
Alabama A&M,31,11,20,.355,-18.40,-9.82,6,12,7,6,3,12,1957,2160,67.4,92.5,.373,.302,.476,46.9,52.7,8.6,7.9,.443,17.8,32.4,.235
Alabama-Birmingham,33,16,17,.485,0.26,1.51,7,9,11,4,4,10,2357,2351,71.3,99.8,.296,.331,.522,48.3,61.7,11.4,6.8,.488,18.4,33.7,.214
Alabama State,32,10,22,.313,-17.88,-9.01,8,10,7,5,3,14,1979,2231,67.0,91.5,.319,.309,.477,46.7,50.5,9.3,8.7,.454,18.8,33.8,.191
Alabama,36,23,13,.639,9.79,5.93,12,6,16,4,4,8,2268,2102,62.3,100.1,.343,.312,.517,46.6,47.0,13.0,12.7,.480,17.0,32.0,.241
Albany (NY),35,24,11,.686,-0.87,-4.53,9,7,11,4,11,5,2251,2123,62.8,102.1,.400,.329,.541,48.9,51.8,8.7,5.9,.496,18.4,31.7,.295
Alcorn State,34,10,24,.294,-14.26,-7.11,8,10,5,8,4,14,2055,2248,69.0,87.2,.373,.298,.462,45.3,42.4,9.4,10.3,.428,18.7,29.6,.232
American,30,10,20,.333,-8.56,-2.53,5,9,7,6,3,14,1735,1916,59.4,96.1,.309,.328,.507,48.6,56.5,5.6,7.3,.473,17.6,28.5,.219
Appalachian State,31,15,16,.484,-7.91,-5.77,10,8,10,4,4,11,2211,2221,68.3,102.0,.372,.314,.528,47.6,45.8,9.8,9.5,.493,16.7,31.6,.256
Arizona State,35,22,13,.629,8.86,4.60,9,9,16,4,4,7,2512,2363,67.5,104.5,.359,.368,.546,48.3,55.1,9.2,14.8,.523,16.2,28.3,.233
Arizona,35,27,8,.771,17.30,7.47,12,6,14,2,7,4,2570,2226,66.8,109.5,.374,.375,.565,52.7,54.1,10.0,10.2,.525,16.8,35.0,.280
Little Rock,32,17,15,.531,-4.36,-2.23,11,9,13,3,3,10,2127,2132,69.2,96.1,.427,.277,.509,46.6,50.8,9.7,10.9,.468,18.9,32.0,.289
Arkansas-Pine Bluff,30,16,14,.533,-12.13,-8.20,15,3,9,0,6,12,1880,1998,68.7,90.8,.330,.308,.476,45.3,55.9,14.3,10.0,.447,18.0,31.5,.208
Arkansas State,31,19,12,.613,0.77,-4.36,12,8,13,2,5,9,2127,1944,66.3,100.7,.439,.364,.507,48.7,46.0,12.1,8.3,.463,16.3,33.9,.299
Arkansas,32,19,13,.594,9.82,4.97,10,8,17,1,1,9,2358,2203,70.6,103.6,.351,.326,.516,45.9,55.8,13.0,13.7,.484,14.0,31.7,.236
