Team1,Team2,Points1,Points2,Result,G1,W1,L1,W-L%1,SRS1,SOS1,ConfW1,ConfL1,HomeW1,HomeL1,AwayW1,AwayL1,Tm.1,Opp.1,MP1,FG1,FGA1,FG%1,3P1,3PA1,3P%1,FT1,FTA1,FT%1,ORB1,TRB1,AST1,STL1,BLK1,TOV1,PF1,Pace1,ORtg1,FTr1,3PAr1,TS%1,TRB%1,AST%1,STL%1,BLK%1,eFG%1,TOV%1,ORB%1,FT/FGA1,AdjEM1,AdjO1,AdjD1,AdjT1,Luck1,SOS AdjEM1,OppO1,OppD1,NCSOS AdjEM1,G2,W2,L2,W-L%2,SRS2,SOS2,ConfW2,ConfL2,HomeW2,HomeL2,AwayW2,AwayL2,Tm.2,Opp.2,MP2,FG2,FGA2,FG%2,3P2,3PA2,3P%2,FT2,FTA2,FT%2,ORB2,TRB2,AST2,STL2,BLK2,TOV2,PF2,Pace2,ORtg2,FTr2,3PAr2,TS%2,TRB%2,AST%2,STL%2,BLK%2,eFG%2,TOV%2,ORB%2,FT/FGA2,AdjEM2,AdjO2,AdjD2,AdjT2,Luck2,SOS AdjEM2,OppO2,OppD2,NCSOS AdjEM2
Mount St. Mary's,North Carolina,74,113,0,34,19,15,.559,-3.59,-5.12,11,7,8,7,10,7,2353,2301,1365,822,1856,.443,204,565,.361,505,718,.703,345,1152,437,246,121,486,671,,,.387,.304,.535,48.7,53.2,,6.4,.498,18.1,,.272,-1.32,99.3,100.6,66.1,+.014,-5.35,101.6,106.9,-0.05,39,36,3,.923,24.17,8.12,14,2,14,2,13,0,3454,2828,1580,1250,2564,.488,216,580,.372,738,975,.757,605,1695,656,318,174,560,658,,,.380,.226,.571,57.2,52.5,,7.0,.530,15.6,,.288,+30.22,122.1,91.9,72.5,+.050,+10.18,108.0,97.8,+1.50
Indiana,Arkansas,72,86,0,33,25,8,.758,15.78,6.08,14,4,17,2,7,3,2476,2156,1335,839,1814,.463,221,633,.349,577,760,.759,386,1247,436,233,125,449,575,,,.419,.349,.569,54.6,52.0,,6.7,.523,17.1,,.318,+18.43,114.6,96.1,66.2,+.037,+6.28,106.6,100.3,-2.30,35,23,12,.657,12.48,6.73,9,7,15,1,2,7,2593,2392,1405,936,2001,.468,207,607,.341,514,758,.678,446,1274,505,241,182,531,662,,,.379,.303,.549,53.1,54.0,,9.3,.519,18.4,,.257,+15.19,111.4,96.2,66.5,+.008,+7.19,108.4,101.2,-0.61
Notre Dame,George Mason,68,50,1,33,25,8,.758,16.15,7.03,14,4,17,0,5,4,2608,2297,1325,914,2015,.454,274,677,.405,506,686,.738,436,1371,608,205,125,429,497,,,.340,.336,.557,53.7,66.5,,5.9,.522,15.5,,.251,+19.07,114.6,95.6,69.5,+.042,+6.88,107.5,100.6,-7.02,34,23,11,.676,6.07,-0.75,12,6,13,1,5,7,2356,2124,,827,1778,.465,205,591,.347,497,707,.703,340,1170,445,189,108,406,525,,,.398,.332,.557,52.8,53.8,,5.8,.523,16.1,,.280,+9.68,110.7,101.0,61.6,-.010,-0.57,102.6,103.2,+2.28
Washington State,Winthrop,71,40,1,35,26,9,.743,16.35,6.35,11,7,9,4,10,3,2325,1975,,815,1716,.475,214,581,.368,481,661,.728,274,1044,482,218,102,358,534,,,.385,.339,.573,50.2,59.1,,5.9,.537,15.0,,.280,+24.32,115.1,90.8,58.3,-.004,+8.99,109.0,100.0,-6.51,34,22,12,.647,3.61,-1.45,10,4,12,3,6,6,2205,1990,1365,795,1814,.438,217,586,.370,398,673,.591,393,1195,435,284,124,439,591,,,.371,.323,.517,52.2,54.7,,7.2,.498,17.1,,.219,+6.38,99.5,93.1,61.6,-.000,-1.01,105.1,106.1,+7.81
Saint Joseph's,Oklahoma,64,72,0,34,21,13,.618,9.63,3.98,9,7,8,5,9,6,2484,2292,1370,859,1800,.477,247,640,.386,519,715,.726,337,1086,502,242,154,432,598,,,.397,.356,.580,50.0,58.4,,8.3,.546,16.8,,.288,+14.32,115.1,100.8,64.0,-.069,+5.81,106.9,101.1,+1.34,35,23,12,.657,11.97,7.85,9,7,14,3,4,6,2378,2234,1415,831,1880,.442,220,632,.348,496,728,.681,391,1240,436,226,135,451,595,,,.387,.336,.534,51.9,52.5,,7.0,.501,16.8,,.264,+14.47,109.5,95.1,63.1,+.077,+9.45,108.3,98.9,-0.55
Louisville,Boise State,79,61,1,36,27,9,.750,19.00,8.00,14,4,15,2,8,3,2611,2215,1445,932,2011,.463,272,778,.350,475,734,.647,413,1338,542,289,178,491,659,,,.365,.387,.553,52.0,58.2,,8.9,.531,17.2,,.236,+25.41,113.1,87.7,65.3,-.057,+9.34,108.4,99.0,+0.79,34,25,9,.735,1.60,-2.07,12,4,11,5,12,3,2767,2567,,994,1956,.508,271,690,.393,508,768,.661,335,1218,605,215,80,534,591,,,.393,.353,.596,51.7,60.9,,3.8,.577,18.7,,.260,+3.89,108.7,104.8,70.7,+.085,-2.64,103.3,105.9,-3.36
Butler,South Alabama,81,61,1,34,30,4,.882,13.00,2.64,16,2,14,1,11,2,2339,1985,,776,1729,.449,319,839,.380,468,635,.737,308,1016,445,221,83,352,588,,,.367,.485,.576,48.9,57.3,,4.9,.541,14.8,,.271,+19.97,116.2,96.2,59.5,+.002,+2.79,104.3,101.5,+5.43,33,26,7,.788,7.76,-1.21,16,2,17,1,7,4,2478,2158,1330,840,1774,.474,220,607,.362,578,821,.704,404,1221,509,201,100,457,569,,,.463,.342,.573,54.6,60.6,,5.4,.536,17.4,,.326,+11.80,112.6,100.8,64.8,-.002,-2.07,103.1,105.2,+0.90
Tennessee,American,72,57,1,36,31,5,.861,18.41,7.84,14,2,16,0,9,2,2946,2519,,1035,2258,.458,312,875,.357,564,856,.659,501,1358,637,334,119,474,749,,,.379,.388,.553,50.4,61.5,,5.8,.527,15.1,,.250,+22.17,116.2,94.0,70.7,+.110,+9.58,109.4,99.8,+7.64,33,21,12,.636,-1.87,-4.00,10,4,11,4,10,7,2140,2049,,698,1586,.440,260,638,.408,484,655,.739,321,1064,390,152,87,458,587,,,.413,.402,.564,52.2,55.9,,5.3,.522,19.4,,.305,+1.67,107.9,106.3,60.4,+.045,-4.23,99.9,104.1,-2.17
Arkansas,North Carolina,77,108,0,35,23,12,.657,12.48,6.73,9,7,15,1,2,7,2593,2392,1405,936,2001,.468,207,607,.341,514,758,.678,446,1274,505,241,182,531,662,,,.379,.303,.549,53.1,54.0,,9.3,.519,18.4,,.257,+15.19,111.4,96.2,66.5,+.008,+7.19,108.4,101.2,-0.61,39,36,3,.923,24.17,8.12,14,2,14,2,13,0,3454,2828,1580,1250,2564,.488,216,580,.372,738,975,.757,605,1695,656,318,174,560,658,,,.380,.226,.571,57.2,52.5,,7.0,.530,15.6,,.288,+30.22,122.1,91.9,72.5,+.050,+10.18,108.0,97.8,+1.50
Washington State,Notre Dame,61,41,1,35,26,9,.743,16.35,6.35,11,7,9,4,10,3,2325,1975,,815,1716,.475,214,581,.368,481,661,.728,274,1044,482,218,102,358,534,,,.385,.339,.573,50.2,59.1,,5.9,.537,15.0,,.280,+24.32,115.1,90.8,58.3,-.004,+8.99,109.0,100.0,-6.51,33,25,8,.758,16.15,7.03,14,4,17,0,5,4,2608,2297,1325,914,2015,.454,274,677,.405,506,686,.738,436,1371,608,205,125,429,497,,,.340,.336,.557,53.7,66.5,,5.9,.522,15.5,,.251,+19.07,114.6,95.6,69.5,+.042,+6.88,107.5,100.6,-7.02
Louisville,Oklahoma,78,48,1,36,27,9,.750,19.00,8.00,14,4,15,2,8,3,2611,2215,1445,932,2011,.463,272,778,.350,475,734,.647,413,1338,542,289,178,491,659,,,.365,.387,.553,52.0,58.2,,8.9,.531,17.2,,.236,+25.41,113.1,87.7,65.3,-.057,+9.34,108.4,99.0,+0.79,35,23,12,.657,11.97,7.85,9,7,14,3,4,6,2378,2234,1415,831,1880,.442,220,632,.348,496,728,.681,391,1240,436,226,135,451,595,,,.387,.336,.534,51.9,52.5,,7.0,.501,16.8,,.264,+14.47,109.5,95.1,63.1,+.077,+9.45,108.3,98.9,-0.55
Tennessee,Butler,76,71,1,36,31,5,.861,18.41,7.84,14,2,16,0,9,2,2946,2519,,1035,2258,.458,312,875,.357,564,856,.659,501,1358,637,334,119,474,749,,,.379,.388,.553,50.4,61.5,,5.8,.527,15.1,,.250,+22.17,116.2,94.0,70.7,+.110,+9.58,109.4,99.8,+7.64,34,30,4,.882,13.00,2.64,16,2,14,1,11,2,2339,1985,,776,1729,.449,319,839,.380,468,635,.737,308,1016,445,221,83,352,588,,,.367,.485,.576,48.9,57.3,,4.9,.541,14.8,,.271,+19.97,116.2,96.2,59.5,+.002,+2.79,104.3,101.5,+5.43
Washington State,North Carolina,47,68,0,35,26,9,.743,16.35,6.35,11,7,9,4,10,3,2325,1975,,815,1716,.475,214,581,.368,481,661,.728,274,1044,482,218,102,358,534,,,.385,.339,.573,50.2,59.1,,5.9,.537,15.0,,.280,+24.32,115.1,90.8,58.3,-.004,+8.99,109.0,100.0,-6.51,39,36,3,.923,24.17,8.12,14,2,14,2,13,0,3454,2828,1580,1250,2564,.488,216,580,.372,738,975,.757,605,1695,656,318,174,560,658,,,.380,.226,.571,57.2,52.5,,7.0,.530,15.6,,.288,+30.22,122.1,91.9,72.5,+.050,+10.18,108.0,97.8,+1.50
Tennessee,Louisville,60,79,0,36,31,5,.861,18.41,7.84,14,2,16,0,9,2,2946,2519,,1035,2258,.458,312,875,.357,564,856,.659,501,1358,637,334,119,474,749,,,.379,.388,.553,50.4,61.5,,5.8,.527,15.1,,.250,+22.17,116.2,94.0,70.7,+.110,+9.58,109.4,99.8,+7.64,36,27,9,.750,19.00,8.00,14,4,15,2,8,3,2611,2215,1445,932,2011,.463,272,778,.350,475,734,.647,413,1338,542,289,178,491,659,,,.365,.387,.553,52.0,58.2,,8.9,.531,17.2,,.236,+25.41,113.1,87.7,65.3,-.057,+9.34,108.4,99.0,+0.79
Louisville,North Carolina,73,83,0,36,27,9,.750,19.00,8.00,14,4,15,2,8,3,2611,2215,1445,932,2011,.463,272,778,.350,475,734,.647,413,1338,542,289,178,491,659,,,.365,.387,.553,52.0,58.2,,8.9,.531,17.2,,.236,+25.41,113.1,87.7,65.3,-.057,+9.34,108.4,99.0,+0.79,39,36,3,.923,24.17,8.12,14,2,14,2,13,0,3454,2828,1580,1250,2564,.488,216,580,.372,738,975,.757,605,1695,656,318,174,560,658,,,.380,.226,.571,57.2,52.5,,7.0,.530,15.6,,.288,+30.22,122.1,91.9,72.5,+.050,+10.18,108.0,97.8,+1.50
Portland State,Kansas,61,85,0,33,23,10,.697,1.72,-3.01,14,2,13,1,8,7,2438,2245,1335,846,1822,.464,294,749,.393,452,668,.677,381,1129,521,231,108,484,591,,,.367,.411,.570,51.6,61.6,,6.0,.545,18.5,,.248,+5.40,108.6,103.2,66.3,+.062,-3.50,102.7,106.2,+3.95,40,37,3,.925,26.90,8.20,13,3,19,0,8,3,3221,2460,,1176,2314,.508,271,683,.397,598,852,.702,482,1547,721,356,235,529,706,,,.368,.295,.592,55.6,61.3,,10.4,.567,16.3,,.258,+35.21,120.9,85.7,66.8,+.012,+9.57,109.2,99.6,-1.41
Nevada-Las Vegas,Kent State,71,58,1,35,27,8,.771,10.23,4.02,12,4,20,2,6,5,2440,2181,,844,1999,.422,264,796,.332,488,653,.747,356,1209,510,278,106,379,605,,,.327,.398,.528,48.8,60.4,,5.6,.488,14.1,,.244,+13.71,110.2,96.5,63.9,+.081,+3.10,104.3,101.2,-0.86,35,28,7,.800,7.47,0.41,13,3,16,0,8,5,2412,2165,1405,839,1809,.464,202,551,.367,532,745,.714,385,1166,485,300,134,516,653,,,.412,.305,.558,51.0,57.8,,7.3,.520,19.3,,.294,+13.04,107.8,94.8,65.1,+.075,+1.03,103.5,102.5,-0.11
Villanova,Clemson,75,69,1,35,22,13,.629,11.00,7.69,9,9,13,3,4,7,2547,2431,1400,868,2013,.431,242,703,.344,569,783,.727,457,1257,466,283,98,503,727,,,.389,.349,.534,51.9,53.7,,5.4,.491,17.4,,.283,+14.21,109.2,95.0,68.1,+.037,+9.14,108.9,99.8,-2.40,34,24,10,.706,18.05,9.08,10,6,14,2,7,5,2693,2372,,1000,2191,.456,271,728,.372,422,677,.623,536,1305,535,334,185,505,664,,,.309,.332,.536,51.5,53.5,,9.4,.518,16.7,,.193,+22.03,114.0,91.9,68.0,-.044,+9.53,109.3,99.8,+0.31
