Team1,Team2,Points1,Points2,Result,G1,W1,L1,W-L%1,SRS1,SOS1,W1,L1,W1,L1,W1,L1,Tm.1,Opp.1,1,Pace1,ORtg1,FTr1,3PAr1,TS%1,TRB%1,AST%1,STL%1,BLK%1,eFG%1,TOV%1,ORB%1,FT/FGA1,AdjEM1,AdjO1,AdjD1,AdjT1,Luck1,SOS AdjEM1,OppO1,OppD1,NCSOS AdjEM1,G2,W2,L2,W-L%2,SRS2,SOS2,W2,L2,W2,L2,W2,L2,Tm.2,Opp.2,2,Pace2,ORtg2,FTr2,3PAr2,TS%2,TRB%2,AST%2,STL%2,BLK%2,eFG%2,TOV%2,ORB%2,FT/FGA2,AdjEM2,AdjO2,AdjD2,AdjT2,Luck2,SOS AdjEM2,OppO2,OppD2,NCSOS AdjEM2
Coastal Carolina,Wisconsin,72,86,0,34,24,10,.706,-1.02,-6.18,12,6,14,2,8,7,2438,2121,,65.2,110.0,.411,.333,.537,55.7,46.1,10.8,10.2,.500,15.0,37.5,.283,+2.38,106.7,104.3,64.1,+.006,-6.45,102.2,108.6,-1.05,40,36,4,.900,24.61,10.29,16,2,15,1,10,2,2900,2327,,59.5,121.1,.362,.374,.585,54.7,49.7,7.3,8.2,.548,10.7,32.1,.276,+33.72,129.0,95.2,58.7,+.015,+11.03,109.8,98.8,+5.30
Oregon,Oklahoma State,79,73,1,36,26,10,.722,11.43,7.65,13,5,17,2,6,4,2713,2550,,68.0,109.3,.286,.339,.557,50.9,51.2,8.3,11.0,.524,14.7,30.8,.217,+13.88,115.2,101.3,66.6,+.119,+7.28,108.4,101.1,-2.34,32,18,14,.563,12.95,9.63,8,10,12,4,3,8,2160,2011,,64.6,103.6,.387,.388,.547,48.6,49.9,12.1,13.7,.507,16.6,27.8,.281,+14.92,111.8,96.8,63.3,-.045,+10.42,108.2,97.8,-1.65
Arkansas,Wofford,56,53,1,36,27,9,.750,14.07,6.79,13,5,17,2,7,5,2787,2525,,70.1,109.6,.373,.310,.539,50.2,59.2,10.9,12.0,.500,14.3,35.7,.270,+16.44,114.7,98.3,69.3,+.045,+6.09,107.2,101.1,-3.44,35,28,7,.800,2.56,-2.98,16,2,13,1,10,5,2331,2089,,62.7,106.2,.382,.331,.547,51.1,56.4,10.4,7.2,.516,15.1,29.1,.262,+6.72,105.2,98.5,60.5,+.122,-3.98,104.0,108.0,+6.79
North Carolina,Harvard,67,65,1,38,26,12,.684,20.63,11.76,11,7,10,5,7,4,2953,2616,,69.2,111.6,.353,.223,.548,55.2,60.1,9.5,11.3,.516,15.1,40.0,.247,+23.85,119.1,95.3,69.2,-.026,+12.76,111.1,98.3,+7.64,30,22,8,.733,4.47,-0.25,12,3,12,2,9,4,1926,1727,,61.2,103.2,.393,.266,.524,52.5,57.2,11.4,13.1,.481,16.0,32.7,.283,+9.23,104.8,95.6,61.1,+.091,-0.18,104.3,104.5,+0.36
Mississippi,Xavier,57,76,0,34,21,13,.618,11.39,7.01,11,7,9,7,8,4,2475,2326,,67.0,107.9,.361,.331,.527,51.8,53.1,9.8,11.3,.478,13.9,34.8,.279,+13.88,114.5,100.6,66.2,-.033,+7.10,107.3,100.2,-1.19,37,23,14,.622,15.42,9.48,9,9,13,3,5,7,2712,2492,,65.6,109.8,.385,.331,.570,52.8,62.3,9.0,8.3,.534,15.8,31.3,.281,+19.49,116.6,97.1,65.0,-.062,+10.29,109.5,99.2,+2.07
Georgia State,Baylor,57,56,1,35,25,10,.714,5.47,-2.03,15,5,12,1,8,8,2499,2184,,64.3,109.8,.383,.278,.563,48.9,53.1,14.1,13.5,.527,14.2,30.0,.277,+10.32,111.6,101.3,62.4,-.003,-1.47,102.4,103.9,+3.63,34,24,10,.706,17.85,9.33,11,7,16,2,6,5,2349,2048,,62.8,109.2,.386,.334,.530,55.9,61.1,12.2,11.2,.497,16.4,42.4,.260,+22.14,116.6,94.5,61.5,-.035,+10.22,108.9,98.7,-0.51
Virginia Commonwealth,Ohio State,72,75,0,36,26,10,.722,12.79,6.10,12,6,12,4,8,4,2609,2368,,66.4,106.5,.373,.399,.518,49.2,50.9,14.0,12.5,.487,13.2,31.8,.245,+16.27,111.1,94.9,66.5,+.043,+6.65,107.9,101.2,+8.77,35,24,11,.686,19.68,7.37,11,7,18,2,4,6,2635,2204,,66.0,113.2,.347,.319,.567,51.5,55.4,11.4,14.6,.542,14.6,33.5,.236,+20.75,115.6,94.8,65.2,-.043,+6.76,108.1,101.4,-7.41
Texas Southern,Arizona,72,93,0,35,22,13,.629,-5.98,-6.09,16,2,9,1,10,11,2390,2386,,64.5,103.6,.468,.312,.531,50.0,45.8,9.3,7.7,.495,16.8,33.8,.309,-3.84,104.1,107.9,63.3,+.128,-6.74,100.0,106.8,+15.16,38,34,4,.895,24.33,7.41,16,2,17,0,8,3,2911,2268,,66.5,114.7,.471,.259,.575,56.8,52.3,10.8,9.8,.535,14.2,34.5,.338,+32.36,119.9,87.5,65.8,-.033,+7.37,108.3,100.9,+0.09
Oregon,Wisconsin,65,72,0,36,26,10,.722,11.43,7.65,13,5,17,2,6,4,2713,2550,,68.0,109.3,.286,.339,.557,50.9,51.2,8.3,11.0,.524,14.7,30.8,.217,+13.88,115.2,101.3,66.6,+.119,+7.28,108.4,101.1,-2.34,40,36,4,.900,24.61,10.29,16,2,15,1,10,2,2900,2327,,59.5,121.1,.362,.374,.585,54.7,49.7,7.3,8.2,.548,10.7,32.1,.276,+33.72,129.0,95.2,58.7,+.015,+11.03,109.8,98.8,+5.30
North Carolina,Arkansas,87,78,1,38,26,12,.684,20.63,11.76,11,7,10,5,7,4,2953,2616,,69.2,111.6,.353,.223,.548,55.2,60.1,9.5,11.3,.516,15.1,40.0,.247,+23.85,119.1,95.3,69.2,-.026,+12.76,111.1,98.3,+7.64,36,27,9,.750,14.07,6.79,13,5,17,2,7,5,2787,2525,,70.1,109.6,.373,.310,.539,50.2,59.2,10.9,12.0,.500,14.3,35.7,.270,+16.44,114.7,98.3,69.3,+.045,+6.09,107.2,101.1,-3.44
