School,G,W,L,W-L%,SRS,SOS,ConfW,ConfL,HomeW,HomeL,AwayW,AwayL,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,OppO,OppD,NCSOS AdjEM
Abilene Christian,33,27,6,.818,-1.28,-8.10,14,4,13,2,10,4,2458,2082,1330,880,1858,.474,246,637,.386,452,632,.715,322,1093,514,288,90,397,619,67.3,109.8,.340,.343,.569,50.9,58.4,12.9,8.1,.540,15.5,29.4,.243,+2.07,103.7,101.6,66.0,+.087,-9.05,99.6,108.7,-4.53
Air Force,32,14,18,.438,-3.93,0.59,8,10,9,6,3,9,2179,2294,1300,802,1777,.451,234,712,.329,341,503,.678,253,1077,434,154,57,423,543,67.4,99.5,.283,.401,.540,50.1,54.1,7.0,5.8,.517,17.3,23.7,.192,-6.85,100.5,107.3,66.4,+.030,-1.15,102.9,104.0,-3.87
Akron,33,17,16,.515,5.21,1.44,8,10,14,3,1,10,2271,2107,1325,797,1948,.409,297,929,.320,380,539,.705,312,1204,399,185,106,388,569,68.5,100.1,.277,.477,.515,48.2,50.1,8.2,8.9,.485,15.0,25.3,.195,+6.09,99.8,93.8,66.0,-.105,+1.64,105.4,103.8,-5.29
Alabama,33,18,15,.545,10.26,9.78,8,10,10,5,4,8,2369,2353,1320,827,1876,.441,233,688,.339,482,722,.668,368,1241,401,152,154,449,560,69.9,102.8,.385,.367,.534,52.2,48.5,6.6,11.6,.503,16.8,31.3,.257,+11.47,108.1,96.7,68.6,+.039,+10.93,110.0,99.0,+3.84
Alabama A&M,32,5,27,.156,-19.25,-8.40,4,14,4,7,0,18,1938,2285,1295,736,1807,.407,182,576,.316,284,453,.627,314,1025,384,234,49,487,587,67.5,88.7,.251,.319,.479,47.0,52.2,10.7,4.6,.458,19.4,27.6,.157,-22.74,86.5,109.2,65.5,-.044,-8.28,98.9,107.1,+0.41
Alabama State,31,12,19,.387,-15.64,-7.88,9,9,8,3,3,13,2086,2235,1250,712,1763,.404,216,674,.320,446,684,.652,365,1094,313,203,102,451,565,69.6,96.0,.388,.382,.500,48.9,44.0,9.3,9.3,.465,17.8,30.9,.253,-16.46,94.6,111.0,67.0,+.024,-7.06,99.4,106.5,+12.53
Alabama-Birmingham,34,20,14,.588,0.82,-1.27,10,8,11,5,6,5,2392,2287,1370,879,1938,.454,227,675,.336,407,607,.671,353,1237,395,215,80,388,559,66.4,105.2,.313,.348,.537,52.6,44.9,9.5,7.5,.512,14.8,30.4,.210,+1.83,106.4,104.6,64.9,-.011,-1.87,101.7,103.5,-4.99
Albany (NY),32,12,20,.375,-9.19,-6.51,7,9,6,8,6,10,2150,2216,1300,728,1750,.416,274,790,.347,420,564,.745,294,1083,402,195,78,454,566,66.7,99.2,.322,.451,.533,49.8,55.2,9.0,7.1,.494,18.4,27.1,.240,-9.83,98.2,108.0,65.7,-.066,-6.70,100.1,106.8,-5.10
Alcorn State,31,10,21,.323,-22.11,-9.00,6,12,10,3,0,17,1995,2194,1245,709,1721,.412,211,646,.327,366,543,.674,334,1079,391,229,107,492,548,68.8,93.2,.316,.375,.504,49.9,55.1,10.7,9.8,.473,19.9,30.1,.213,-24.74,88.8,113.5,65.6,+.031,-8.14,98.6,106.7,+8.35
American,30,15,15,.500,-4.02,-7.05,9,9,8,7,6,8,2161,2070,1220,780,1643,.475,190,583,.326,411,589,.698,251,1013,401,221,131,386,520,67.7,104.7,.358,.355,.562,50.4,51.4,10.7,11.0,.533,16.7,26.1,.250,-3.08,101.9,104.9,66.4,-.119,-7.31,100.4,107.8,-10.43
Appalachian State,32,11,21,.344,-3.57,0.26,6,12,9,5,2,12,2557,2539,1290,880,1938,.454,292,814,.359,505,706,.715,310,1126,406,171,89,418,585,73.7,107.6,.364,.420,.562,48.6,46.1,7.2,6.8,.529,15.5,26.5,.261,-3.62,106.0,109.6,71.4,-.083,+1.22,105.1,103.9,+5.19
Arizona,32,17,15,.531,8.36,6.36,8,10,12,5,4,7,2269,2205,1290,794,1861,.427,235,699,.336,446,620,.719,324,1116,397,165,73,370,594,68.6,102.6,.333,.376,.526,50.5,50.0,7.5,6.6,.490,14.7,28.4,.240,+6.85,105.0,98.1,66.5,-.013,+5.41,107.5,102.1,+3.45
Arizona State,32,22,10,.688,10.46,5.71,12,6,13,3,6,5,2490,2338,1300,851,1903,.447,232,680,.341,556,829,.671,389,1283,435,199,103,434,635,72.1,106.2,.436,.357,.542,53.1,51.1,8.5,9.7,.508,15.9,32.4,.292,+11.20,109.8,98.6,70.5,+.046,+4.80,106.6,101.8,+1.79
Arkansas,32,17,15,.531,11.88,9.00,8,10,12,6,4,7,2415,2323,1290,845,1892,.447,241,703,.343,484,728,.665,328,1075,502,261,152,425,646,71.8,104.2,.385,.372,.540,46.7,59.4,11.3,14.5,.510,16.0,28.5,.256,+12.32,109.6,97.2,70.2,-.041,+8.40,108.2,99.7,+0.52
Arkansas-Pine Bluff,32,13,19,.406,-14.47,-8.21,10,8,8,2,4,17,2108,2269,1300,719,1685,.427,194,574,.338,476,702,.678,317,1063,365,216,108,478,629,67.3,96.3,.417,.341,.522,49.4,50.8,9.9,9.4,.484,19.1,29.1,.282,-13.72,96.1,109.8,65.0,+.023,-7.17,98.8,106.0,+6.16
Army,32,13,19,.406,-7.34,-4.50,8,10,10,4,3,13,2268,2305,1280,837,1956,.428,272,864,.315,322,471,.684,259,1125,499,198,50,376,544,71.7,98.9,.241,.442,.520,48.9,59.6,8.6,4.6,.497,14.7,21.8,.165,-6.80,96.2,103.0,69.6,-.028,-4.35,103.3,107.6,-4.38
